Scenario,Keywords,Question,Guidelines Targeted,Health screening Questions (2-5),Misinformation or Myths,Misinformation counteraction/ clarity,Midwifery / Medical solution ( advice)
"Jessica, a 27-year-old pregnant woman, is in her second trimester and has a history of malaria.she keeps her pregnancy a secret because if she dicloses, she will loose her baby even if she is not sick due to the cultural beliefs. She is worried about the impact of malaria on her unborn child and wants to know how to protect herself from future infections.","Malaria, Second trimester, History, Impact, Protection","Given Jessica's history of malaria, how would you assess her risk of future infections during her second trimester? What recommendations would you provide to minimize her risk of malaria and ensure the health of her unborn child?","Management of Malaria in Pregnancy, Antenatal Care, Community Participation in Reproductive Health Programs",Which measures do you employ to fight malaria? How much knowledge do you have on malaria? Do you attend ANC? How often do you add vegetables to your diet?,"If a pregnancy is disclosed, one looses their baby.",Different things can complicate a pregnancy and lead to a miscarriage or abortion.,Attend ANC regularly. Adopt measures for protection against malaria. Add vegetables to the diet everyday.
"Ashley, a 24-year-old pregnant woman, is in her first trimester and has been diagnosed with malaria. Ashley is a believer in the tradititons, she says that when she apeases the gods, she cannot become unwell, but now she fears that the gods are not happy with her and so seeking to kill her un born child.  She is experiencing symptoms such as fatigue, headaches, and abdominal pain. Ashley is seeking advice on how to manage her condition and ensure a healthy pregnancy.","Malaria, First trimester, Fatigue, Headaches, Abdominal pain","How would you manage Ashley's malaria during her first trimester, considering her symptoms? What steps would you recommend to monitor her condition and ensure the health of her unborn child throughout her pregnancy?",Management,Do you attend ANC? Which measures do you employ to fight against malaria?,Appeasing the gods protects from all evil.,Malaria is caused by a bite from an infected female anophlese mosquito and so its not caused by witchcraft.,Attend ANC regularly. Adopt measures to fight malaria. Attend health education talks for more knowledge.
,,,,,,,
"Emily, a 17-year-old pregnant teenager, is in her first trimester and has been diagnosed with malaria. In her culture, a pregnant woman must sleep with different men in order to ensure than the baby comes out strong. She is experiencing nausea, vomiting, and fatigue. Emily is worried about the potential impact of malaria on her and her unborn child.","Malaria, First trimester, Teenager, Nausea, Vomiting, Fatigue",How would you manage Emily's malaria considering her age and stage of pregnancy? What recommendations would you provide to ensure her health and the well-being of her unborn child?,"Management of Malaria in Pregnancy, Antenatal Care, Health Supplies",Which measures do oyu employ to fight against malaria? Do you attend ANC?,Sleeping with different men while pregnant makes the baby come out strong.,Sleeping with different men exposes one to different infections which is hazardous to one's life.,Adopt measures for protection against malaria. Attend ANC regularly.
"Sarah, a 20-year-old pregnant woman who is a victim of rape, is in her second trimester and has been diagnosed with malaria. She is dealing with the trauma of the incident and is concerned about her health and the health of her unborn child. Sarah also visted a traditional healer for conconctions in order to have her child not look like the father at all, the conctions were to also protect her from illnesses.","Malaria, Second trimester, Rape, Trauma, Concern",How would you support Sarah in managing her malaria while addressing her traumatic experience and concerns? What recommendations would you provide to ensure her health and the health of her unborn child?,"Management of Malaria in Pregnancy, Antenatal Care, Post-abortion Counseling",Are you part of a social support group? Do you attend ANC? Which measuresdo you employ to fight malaria?,Concoctions can alter the appearance of an unborn baby.,"Appearance of an unborn baby is genetically determined, this can not be altered by concoctions.",Join a social support group to help heal from the trauma. Attend ANC regularly. Adopt measures for protection against malaria.
"Lily, a 16-year-old pregnant teenager, is in her third trimester and lives in a region with high malaria transmission, she was told by her grandmother that she need to use the fir from cats in her private parts in order to quicken her delivery process. She has been experiencing high fever and muscle pain. Lily lives in a rural area with limited access to healthcare facilities.","Malaria, Third trimester, Teenager, Fever, Muscle pain, Rural area","How would you assess and manage Lily's risk of malaria given her age, symptoms, and location? What recommendations would you provide to ensure her health and the health of her unborn child, considering the limited access to healthcare?","Management of Malaria in Pregnancy, Antenatal Care, Community Participation in Reproductive Health Programs",Do you attend ANC? Do you attend health education talks? Do you eat a balanced diet? Which measures do you employ to fight against malaria?,Cat fur quickens delivery.,there is no scientific proof of this and so it should be used with caution.,Attend ANC regularly. Attend hrealth education talks. Eat a balanced diet for a ahealthy body. Adopt measures to fight against malaria.
"Sophie, a 15-year-old girl in an early marriage, is in her second trimester and has been diagnosed with malaria. she has been taking herbs like imbiza (local name) in order to make her body stronger. She is experiencing symptoms such as fatigue, headaches, and abdominal pain. Sophie is seeking advice on how to manage her condition and ensure a healthy pregnancy.","Malaria, Second trimester, Early marriage, Fatigue, Headaches, Abdominal pain",How would you manage Sophie's malaria considering her age and stage of pregnancy? What steps would you recommend to monitor her condition and ensure the health of her unborn child throughout her pregnancy?,"Management of Malaria in Pregnancy, Antenatal Care, Health Supplies",Do you attend ANC? Which measures do you employ ot fight malaria?,Local herbs like imbiza make the body strong.,"A healthy diet, a healthy mind and medication when ill makes the body strong, local herbs can have an unknown side effects as they are not regulated.",Attend ANC regularly. Eat a balanced diet. Adopt measures to fight against malaria.
"Chloe, a 19-year-old pregnant woman who lives in a slum area, is in her first trimester and has been diagnosed with malaria. She is experiencing severe vomiting and is unable to keep any food down. Chloe was told by her neighbour that the vomiting is because her unborn child doesnot want to grow in her belly. Chloe is concerned about her health and the impact of malaria on her pregnancy.","Malaria, First trimester, Slum area, Vomiting, Concern",How would you manage Chloe's malaria given her symptoms and living conditions? What recommendations would you provide to ensure her health and the well-being of her unborn child?,"Management of Malaria in Pregnancy, Antenatal Care, Hyperemesis Gravidarum",Do you attend ANC? Do you eat a balanced diet? Which measures do you employ to fight against malaria?,Over vomiting shows that the baby does not want to grow in one's womb.,"Over vomiting also called hyperemesis gravidarum, is  a complication in pregnanacy but it can be managed and the pregnancy pregresses normally.",Attend ANC regularly. Eat a balanced diet. Adopt measures to fight against malaria.
"Amanda, an 18-year-old pregnant teenager, is in her third trimester and has been diagnosed with severe malaria. Amanda just got done with her 3-day rituals in order for her unborn child to be blessed by the ancestors before she gives birth.  She is experiencing symptoms such as high fever, jaundice, and difficulty breathing. Amanda is concerned about her health and the impact of severe malaria on her unborn child.","Malaria, Third trimester, Teenager, Severe malaria, Fever, Jaundice",How would you manage Amanda's severe malaria given her symptoms and stage of pregnancy? What steps would you take to ensure the health of her unborn child and monitor her condition throughout her third trimester?,"Management of Malaria in Pregnancy, Intrapartum Care, Health Supplies",Which measures do you employ to fight against malaria? Do you attend ANC? Do you have a birth delivery plan?,Perform rituals in order to have a healthy a healthy baby.,"A healthy baby also depends on how a mother takes care of herself, so even if rituals are performed and self care is lacking, the baby can get complications.",Adopt measures to fight malaria. Attend ANC regularly. Take antimalarials as prescribed.
"Mia, a 16-year-old pregnant girl in an early marriage, is in her second trimester and has been diagnosed with malaria. Mia grew up in a family where mosquito nets were used for fishing and so she has never considered then as a means of protection from malaria. She is dealing with the stress of early marriage and is worried about the potential impact of malaria on her pregnancy.","Malaria, Second trimester, Early marriage, Stress, Worried",How would you support Mia in managing her malaria while addressing her stress and worries? What recommendations would you provide to ensure her health and the health of her unborn child?,"Management of Malaria in Pregnancy, Antenatal Care, Post-abortion Counseling",Are you part of  a social support group? Which measures do you employ to fight malaria? Do you attend ANC?,Mosquito nets are for fishing.,Proper use of mosquito nets are a crutial means to fight malaria and so should be used right.,Attend health education talks. Attend ANC regularly. Take antimalarials as prescribed.
"Zoe, a 14-year-old pregnant teenager, is in her first trimester and has been diagnosed with malaria. She stays with her grandmother who is supposedly helping her pelvis to grow faster in preparation for child birth, she says that she takes a number of herbs and concoctions. She is experiencing fatigue, headaches, and abdominal pain. Zoe is seeking advice on how to manage her condition and ensure a healthy pregnancy.","Malaria, First trimester, Teenager, Fatigue, Headaches, Abdominal pain",How would you manage Zoe's malaria considering her age and stage of pregnancy? What steps would you recommend to monitor her condition and ensure the health of her unborn child throughout her pregnancy?,"Management of Malaria in Pregnancy, Antenatal Care, Health Supplies",Do you attend ANC? Do you attend health education talks? Which measures do you employ to fight malaria?,Herbs and concoctions make the pelvis ready for delivery.,"Herbs and concoctions are not regulated, they can be harmful. Hormones can stimulate the growth of the pelvis.",Attend ANC regularly. Adopt measures to fight against malaria. Attend health education talks.
