Scenario,Guidelines Required,Question,Misinformation or Myths,Misinformation counteraction/ clarity,Midwifery / Medical solution ( advice)
29 year old woman 8 week postpartum present painful swollen area breast accompany high fever chill fear breast go cut diagnose breast abscess receive treatment,Breast abscess,"Based on her symptoms and postpartum status, how should the patient's breast abscess be managed, and what are the guidelines for treatment and supportive care?",Breast with an abscess is going to be cut off.,"Breast abscesses are not necessarily cancerous even if they can be. They can be drained, treated and the breast can be normal again.",Get emotional support. Continue breastfeeding the baby. Ensure proper diet and plenty of fluids. Follow the treatment plan. Dress the wound daily.
28 year old woman 12 day post abortion present abdominal pain fever foul smell vaginal discharge diagnose septic abortion receive antibiotic therapy read online abortion hospital nothing go wrong,Management of sepsis following abortion,"Based on her symptoms and post-abortion status, how should the patient's septic abortion be managed, and what are the guidelines for antibiotic therapy and further management?",Abortion done in a hospital cannot become septic.,Abortion done in the hospital has less chances of becoming sensitive compared to the one one done at home. Septiceamia can occur due to a number of reasons and some of them base on the way the patient takes care of herself after abortion.,Do tests like CBC and Urialysis. Take plenty of fluids. Take antibiotics as prescribed and the rest of the treatment plan. Get a family planning method until when ready to get pregnant again.
31 year old woman 38 week pregnant present painful recurrent genital ulcer history genital herpe culture people believe trashy poor people get stis midwife consider antiviral therapy management potential complication,Genital ulcers,"How should the patient's condition be managed, and what are the guidelines for antiviral therapy and the management of potential complications in pregnancy?",Only trashy and poor people get STIs.,"Anyone rich or poor, trashy or not, can get an STI.","Maintain good hygiene. Do tests like urinalysis, VDRL and others. Follow the treatment plan. Get partner to test as well and get treatment."
29 year old woman 34 week pregnant present abdominal pain contraction diagnose preterm labor receive treatment delay labor reduce risk complication fear cause weak,Preterm (premature) labor,"Given her diagnosis, how should the patient's preterm labor be managed, and what steps have been taken to delay labor and reduce the risk of complications according to the guidelines?",A weak mother causes preterm labour.,"Preterm labour has nothing to do with a weak mother or strong one, it can be caused by infections, trauma and sometimes the cause is not known.",Take plenty bedrest. Take plenty of fluids. Do an ultrasound scan. Follow the treatment plan.
30 year old woman 31 week pregnant present severe headache blur vision upper abdominal pain blood pressure significantly elevate proteinuria tell rest delay onset pressure symptom midwife suspects eclampsia consider antihypertensive medication management,Management of hypertensive disorders in pregnancy,"Based on her symptoms and findings, how should the patient's suspected eclampsia be managed, and what are the guidelines for antihypertensive medications and further management in pregnancy?",Resting delays the onset of pressure symptoms.,Resting does not determine the onset of pressure symptoms. They can happen when the person is resting or not.,Do some light exercises to improve blood circulation. Eat a balanced diet. Do an ultrssound scan. Follow the treatment plan.
32 year old woman 20 week pregnant present severe abdominal pain vaginal bleeding diagnose ectopic pregnancy receive treatment tell ectopic pregnancy occur normal way,Ectopic pregnancy,"Given her diagnosis, how should the patient's ectopic pregnancy be managed, and what steps have been taken to address her symptoms and ensure her well-being according to the guidelines?",Ectopic pregnancy doesnot occur the normal way.,"An ectopic pregnancy occurs the normal way, the only thing that goes wrong is the implantation, instead of happening in the uterus, it occurs and grows from else where.",Do an ultra sound scan. Do an HCG test. Follow the treatment plan.
36 year old woman 13 day postpartum present heavy vaginal bleed fever abdominal pain diagnose postpartum endomyometritis receive antibiotic therapy refuse take modern medication say affect child breastfeed,Puerperal sepsis,"Based on her symptoms and postpartum status, how should the patient's postpartum endomyometritis be managed, and what are the guidelines for antibiotic therapy and supportive care?",Modern medication affects the child during breast feeding.,"During breastfeeding, some medication can be secreted in breast milk, but even if this happens, the medication prescribed during this period will not have any harm towards the baby.",Avoid over the counter medication. Do tests like CBC and urinalysis. Follow the treatment plan.
27 year old woman 24 week pregnant present severe abdominal pain vaginal bleeding history recurrent miscarriage culture woman carry baby long time mean baby strong midwife suspect intrauterine fetal death consider diagnostic test management potential complication,Intrauterine fetal death,"How should the patient's suspected intrauterine fetal death be evaluated and managed, and what are the guidelines for diagnostic tests and the management of potential complications?",Carrying a baby post-term makes a strong baby.,"Post-term pregnancy is one of the risk factors for intrauterine fetal death. The closer to term that the baby is delivered, the better.",Do an ultrasound scan. Do tests like CBC and urinalysis. Terminate pregnancy as soon as possible.
28 year old woman 30 week pregnant present high fever severe headache muscle pain history travel region ongoing marburg virus outbreak claim smoke protective herb disease midwife suspect marburg fever viral hemorrhagic fever consider isolation supportive care,"Viral hemorrhagic fever (Marburg, Ebola, Lassa, yellow fever, etc.)","How should the patient's suspected Marburg fever be managed, and what are the guidelines for isolation and supportive care in pregnancy?",Smoking herbs and inhaling some of the smoke is protective against diseases.,Marburg virus is transimitted to humans from fruit bats and spreads among humans through human-human transmission. This is not affected by any smoke.,Avoid blood and body fluids of people who are infected. Take immune boosters like vitamins. Take plenty of fluids.
30 year old woman 34 week pregnant present severe abdominal pain contraction history previous cesarean section tell bleeding pregnancy sign abortion midwife suspect placental abruption consider emergency delivery,Antepartum hemorrhage,"How should the patient's suspected placental abruption be managed, and what are the guidelines for emergency delivery in the case of placental abruption?",Any bleeding during pregnancy is a sign of abortion.,"Any pregnany that grows beyond 23 weeks of gestation is no longer considered as an abortion. Intrapartum bleeding can be caused by trauma, placenta abruption, placenta previa and others.","Get plenty of bedrest. Do an ultra sound scan. Do tests like CBC, blood grouping and cross-matching. Follow the treatment plan."
28 year old woman 7 week postpartum present painful swollen area breast accompany high fever chill think happen baby bite breastfeed diagnose breast abscess receive treatment,Breast abscess,"Based on her symptoms and postpartum status, how should the patient's breast abscess be managed, and what are the guidelines for treatment and supportive care?",Breast abscess is caused is a bite from the baby while breastfeeding.,Breast abscess usually follows after mastitis but it is not caused by a bite from the baby.,Use a warm compress. Get a support bra to hold the breast in one place. Continue breast feeding. Follow the treatment plan.
27 year old woman 11 day post abortion present abdominal pain fever foul smell vaginal discharge tell sepsis affect people hospital diagnose septic abortion receive antibiotic therapy,Management of sepsis following abortion,"Based on her symptoms and post-abortion status, how should the patient's septic abortion be managed, and what are the guidelines for antibiotic therapy and further management?",Sepsis only affects people in hospitals.,"Sepsis can affect anyone who is at risk from anywhere. After an abortion, there is a wound that is created, if this is not well cared for, sepsis can occur.",Do tests like CBC and urinalysis. Take plenty of fluids. Eat a balanced diet. Exercise daily. Take antibiotics as prescribed. Maintain a good hygiene.
30 year old woman 37 week pregnant present painful recurrent genital ulcer history genital herpe tell person genital herpe child pregnant child die midwife consider antiviral therapy management potential complication,Genital ulcers,"How should the patient's condition be managed, and what are the guidelines for antiviral therapy and the management of potential complications in pregnancy?",A person with genital ulcers cannot have children.,"Genital ulcers do not affect the childbearing capacity of a woman, or man for that matter. However, there is a chance that a baby in-utero can acquire it from the mother, but with medicine prescribed, this can be prevented.",Maintain a good hygiene. Take plenty of fluids. Do tests like CBC and urinalysis. Follow the treatment plan.
28 year old woman 33 week pregnant present abdominal pain contraction blame think cause diagnose preterm labor receive treatment delay labor reduce risk complication,Preterm (premature) labor,"Given her diagnosis, how should the patient's preterm labor be managed, and what steps have been taken to delay labor and reduce the risk of complications according to the guidelines?",Mother causes it.,Preterm labour cannot be blames on the mother because it can happen even to one who is most conscious.,Do tests and treat any infections. Get plenty of bedrest. Do an ultrsound scan. Follow the treatment plan.
29 year old woman 30 week pregnant present severe headache blur vision upper abdominal pain blood pressure significantly elevate proteinuria think preeclampsia cause mistreatment law midwife suspect eclampsia consider antihypertensive medication management,Management of hypertensive disorders in pregnancy,"Based on her symptoms and findings, how should the patient's suspected eclampsia be managed, and what are the guidelines for antihypertensive medications and further management in pregnancy?",Preeclampsia is caused by mistreatment by an in-law.,"Preeclampsia is caused by trophoblastic invasion from the placenta, vascular invasion, genetic predisposition, prior preeclampsia in previous pregnancies and sometimes the cause is notnormal.",Report to the health facility immediately. Do an ultrasound scan. Follow the treatment plan. Do some slight exercises. Take plenty of rest.
31 year old woman 19 week pregnant present severe abdominal pain vaginal bleeding diagnose ectopic pregnancy receive treatment village people believe ectopic pregnancy cause devil,Ectopic pregnancy,"Given her diagnosis, how should the patient's ectopic pregnancy be managed, and what steps have been taken to address her symptoms and ensure her well-being according to the guidelines?",Ectopic pregnancy is caused by the devil.,"Ectopic pregnancy is caused by prior fallopian tube surgery, pelvic inflammatory disease, endometriosis, previous ectopic pregnancy and others.",Do an ultrasound scan. Do an HCG test. Take some painkillers. Follow the treatment plan.
35 year old woman 12 day postpartum present heavy vaginal bleed fever abdominal pain diagnose postpartum endomyometritis receive antibiotic therapy use local herb wash perineum tell make go back pre pregnancy state,Puerperal sepsis,"Based on her symptoms and postpartum status, how should the patient's postpartum endomyometritis be managed, and what are the guidelines for antibiotic therapy and supportive care?",Local herbs make the perineum tight again.,Local herbs are not regulated and can easily be contaminated. Perineum muscles can be restored through kegel exercises. Washing the perinuem with herbs exposes it to infections.,Avoid washing the perinuem with herbs instead use plain clean water. Do tests like CBC and urinalysis. Take antibiotics as prescribed. Take plenty of fluids. Eat a balanced diet.
26 year old woman 23 week pregnant present severe abdominal pain vaginal bleeding history recurrent miscarriage claim baby die curse midwife suspect intrauterine fetal death consider diagnostic test management potential complication,Intrauterine fetal death,"How should the patient's suspected intrauterine fetal death be evaluated and managed, and what are the guidelines for diagnostic tests and the management of potential complications?",IUFD is caused by curses.,"IUFD is usually caused by pregnancy complications like preeclampcia, gestational diabetes,  post term pregnancies and others.","Do an ultrasound scan. Do tests like CBC, urinalysis, blood grouping and crossmatching. Plan for immediate pregnancy termination. Join a social support group for emotional support. Get on family planning until ready for another pregnancy."
27 year old woman 29 week pregnant present high fever severe headache muscle pain history travel region ongoing marburg virus outbreak tell eat fruit bat get immunity disease midwife suspect marburg fever viral hemorrhagic fever consider isolation supportive care,"Viral hemorrhagic fever (Marburg, Ebola, Lassa, yellow fever, etc.)","How should the patient's suspected Marburg fever be managed, and what are the guidelines for isolation and supportive care in pregnancy?",Eating a fruit bat gives one immunity against marburg fever.,There is no vaccine against marburg disease and eating the bird also does not give immunity.,Avoid blood and body fluids of people who are infected. Take immune boosters like vitamins. Take plenty of fluids.
28 year old woman 33 week pregnant present severe abdominal pain contraction history previous cesarean section midwife suspect placental abruption consider emergency delivery tell woman bleed baby try get,Antepartum hemorrhage,"How should the patient's suspected placental abruption be managed, and what are the guidelines for emergency delivery in the case of placental abruption?",Bleeding occurs because the baby is trying to move out.,"Antepartum heamorrhage is an obstetric emergency, it is caused by abruptio placentae, placenta previa, vasa previa and trauma. It is not caused by the foetus.",Do an ultrasound scan. Get plenty of bedrest. Do tests like blood grouping and crossmatching. Take plenty of fluids. Follow the treatment plan.
30 year old woman 6 week postpartum present painful swollen area breast accompany high fever chill think bewitch friend doesnot child diagnose breast abscess receive treatment,Breast abscess,"Based on her symptoms and postpartum status, how should the patient's breast abscess be managed, and what are the guidelines for treatment and supportive care?",Breast abscess is caused by witchcraft.,Breast abscess usually follows after mastitis and it is caused by a bacterial infection but not witchcraft.,Use a warm compress. Get a support bra to hold the breast in one place. Continue breast feeding. Follow the treatment plan.
26 year old woman 10 day post abortion present abdominal pain fever foul smell vaginal discharge tell poke uterus vagina get baby safely diagnose septic abortion receive antibiotic therapy,Management of sepsis following abortion,"Based on her symptoms and post-abortion status, how should the patient's septic abortion be managed, and what are the guidelines for antibiotic therapy and further management?",Poking the uterus through the vagina can get the bay aborted.,Abortion that is not done from the hospital with a clean environment can easily become septic. It is therefore recommended to avoid doing abortions outside the hospital.,Do an ultrasound scan. Maintain good hygiene. Take plenty of fluids. Eat a balanced diet. Take antibiotics as prescribed.
29 year old woman 36 week pregnant present painful recurrent genital ulcer history genital herpe read online certain people get genital ulcer midwife consider antiviral therapy management potential complication,Genital ulcers,"How should the patient's condition be managed, and what are the guidelines for antiviral therapy and the management of potential complications in pregnancy?",Only certain people can get genital ulcers.,Anyone who is sexually active is at risk of getting genital ulcers. It is sexually transmitted and some people are asymptomatic carriers so you may never know who has it.,Maintain a good hygiene. Practice protected sex. Do tests like CBC and other specific ones. Follow the treatment plan. Get partner tested and treated.
27 year old woman 32 week pregnant present abdominal pain contraction claim baby grow enough want come diagnose preterm labor receive treatment delay labor reduce risk complication,Preterm (premature) labor,"Given her diagnosis, how should the patient's preterm labor be managed, and what steps have been taken to delay labor and reduce the risk of complications according to the guidelines?",A baby who is grown enough causes preterm labour to occur.,Every baby needs the full term period in order to grow maximumly. The baby therefore does not cause preterm labour to occur.,"Get plenty of bedrest. Do an ultra sound scan. Do tests like CBC, blood grouping and cross-matching. Follow the treatment plan."
30 year old woman 29 week pregnant present severe headache blur vision upper abdominal pain blood pressure significantly elevate proteinuria tell preeclampsia big illness doesnot heal midwife suspect eclampsia consider antihypertensive medication management,Management of hypertensive disorders in pregnancy,"Based on her symptoms and findings, how should the patient's suspected eclampsia be managed, and what are the guidelines for antihypertensive medications and further management in pregnancy?",Preeclampsia is a big illness and it doesnot heal.,"Preeclampsia is an obstetric emergency, it may not heal completely but its impact reduces with removal of the placenta. The risk of it re-occuring remains in subsequent pregnancies.","Do an ultrasound scan. Do tests like CBC, urinalysis, RFTs and LFTs. Follow the treatment plan."
31 year old woman 18 week pregnant present severe abdominal pain vaginal bleeding diagnose ectopic pregnancy receive treatment tell ectopic pregnancy much worry time pregnancy move uterus grow normally,Ectopic pregnancy,"Given her diagnosis, how should the patient's ectopic pregnancy be managed, and what steps have been taken to address her symptoms and ensure her well-being according to the guidelines?","Ectopic pregnancy is nothing to worry about, with time it moves to the uterus and it grows normally.","An ectopic pregnancy is life treatening, if it is not managed, it can rupture causing hemorrhage and risk for death. This can even lead to reduced chances of getting pregnant again as it can cause removal of fallopian tubes or scarring of the fallopian tube.",Do an ultrasound scan. Do an HCG test. Take some painkillers. Take plenty of fluids. Do a blood grouping and cross-matching test. Follow the treatment plan.
34 year old woman 11 day postpartum present heavy vaginal bleed fever abdominal pain culture woman give birth allow move anything ahe suppose rest feed child diagnose postpartum endomyometritis receive antibiotic therapy,Puerperal sepsis,"Based on her symptoms and postpartum status, how should the patient's postpartum endomyometritis be managed, and what are the guidelines for antibiotic therapy and supportive care?",A woman post-delivery is not supposed to move at all.,"Exercises help to facilitate healing, this reducs the risk of pueperal sepsis. ",Do light exercises daily. Take plenty of fluids. Eat a balanced diet. Do tests like CBC. Do an ultrasound scan. Follow the treatment plan.
26 year old woman 22 week pregnant present severe abdominal pain vaginal bleeding history recurrent miscarriage village woman go traditional birth atendant baby always die midwife suspect intrauterine fetal death consider diagnostic test management potential complication,Intrauterine fetal death,"How should the patient's suspected intrauterine fetal death be evaluated and managed, and what are the guidelines for diagnostic tests and the management of potential complications?",Not going to a traditional birth attendant leads to intrauterine fetal death.,"IUFD is usually caused by pregnancy complications like preeclampcia, gestational diabetes,  post term pregnancies and others.","Do an ultasound scan. Do tests like CBC, blood grouping and crossmatching. Terminate pregnancy immediately. Join a social support group. Get a family planning method to use until when ready to have another child."
27 year old woman 28 week pregnant present high fever severe headache muscle pain history travel region ongoing marburg virus outbreak people area theory one doesnot eat fruit get disease midwife suspect marburg fever viral hemorrhagic fever consider isolation supportive care,"Viral hemorrhagic fever (Marburg, Ebola, Lassa, yellow fever, etc.)","How should the patient's suspected Marburg fever be managed, and what are the guidelines for isolation and supportive care in pregnancy?",Avoiding the eating of fruits protects one from the disease.,Fruit bats are the ones that transmit the disease to humans but the fruits do not be infected. The disease also spreads through human-to-human interactions.,Avoid blood and body fluids of people who are infected. Take immune boosters like vitamins. Take plenty of fluids.
33 year old woman 38 week pregnant present severe abdominal pain bleeding history previous cesarean section grandmother tell baby grow womb bite mother mother bleed midwife suspect placental abruption consider emergency delivery,Antepartum hemorrhage,"How should the patient's suspected placental abruption be managed, and what are the guidelines for emergency delivery in the case of placental abruption?",A grown baby in-utero can bite the mother and she bleeds.,"In-utero, the baby does not have teeth and he or she cannot bite the mother. The blleding is caused by placenta previa, abruptio placentae and others.",Do an ultra sound scan. Monitor the fetal wellbeing. Get plenty of bedrest. Take plenty of fluids. Follow the treatment plan.
27 year old woman 7 week postpartum present painful swollen area breast accompany high fever chill think someone dirty hand touch bra cause breast become sick diagnose breast abscess receive treatment,Breast abscess,"Based on her symptoms and postpartum status, how should the patient's breast abscess be managed, and what are the guidelines for treatment and supportive care?",Dirty hands contaminated the bras and made her sick.,"Breast abscess usually follows after mastitis, it is caused by a bacterial infection.",Continue breast feeding. Get a warm compress. Get a support bra for the breast. Get emotional support from family members and partner. Follow the treatment plan.
31 year old woman 9 day post abortion present abdominal pain fever foul smell vaginal discharge fix herb vaginal canal make tight diagnose septic abortion receive antibiotic therapy,Management of sepsis following abortion,"Based on her symptoms and post-abortion status, how should the patient's septic abortion be managed, and what are the guidelines for antibiotic therapy and further management?",Fixing herbs in the vaginal canal makes it tight.,Herbs can easily be contaminated and are not easily regulated. Using them may have benefits in some cases but it is best to avoid using them.,Maintain good hygiene. Eat a balanced diet. Take plenty of fluids. Follow the treatment plan.
28 year old woman 35 week pregnant present painful recurrent genital ulcer history genital herpe tell person symptom infect midwife consider antiviral therapy management potential complication,Genital ulcers,"How should the patient's condition be managed, and what are the guidelines for antiviral therapy and the management of potential complications in pregnancy?",A person with no signs and symptoms in not infected.,"Some people are asymptomatic carriers. And the infection can also be transmitted via saliva, genital secretions or sores.",Maintain a good hygiene. Do tests like CBC and other specific ones. Practice safe sex. Follow treatment plan. Get partner tested and treated concurrently.
30 year old woman 31 week pregnant present abdominal pain contraction take herb call oluzalo local name order baby diagnose preterm labor receive treatment delay labor reduce risk complication,Preterm (premature) labor,"Given her diagnosis, how should the patient's preterm labor be managed, and what steps have been taken to delay labor and reduce the risk of complications according to the guidelines?",Herbs help one become pregnant.,"Herbs are not regulated or scientifically test, and so there are many risks associated with them.",Get enough bedrest. Take plenty of fluids. Do an ultrasound scan. Foloow the treatment plan.
29 year old woman 28 week pregnant present severe headache blur vision upper abdominal pain blood pressure significantly elevate proteinuria people village theory precclampsia snake illness midwife suspect eclampsia consider antihypertensive medication management,Management of hypertensive disorders in pregnancy,"Based on her symptoms and findings, how should the patient's suspected eclampsia be managed, and what are the guidelines for antihypertensive medications and further management in pregnancy?",Preeclampsia is a snake illness.,"Preeclampsia is caused by trophoblastic invasion from the placenta, vascular invasion, genetic predisposition, prior preeclampsia in previous pregnancies and sometimes the cause is notnormal. This has nothing to do with snakes.","Do an ultrasound scan. Do tests like CBC, urinalysis, RFTs and LFTs. Follow the treatment plan."
32 year old woman 17 week pregnant present severe abdominal pain vaginal bleeding tell grandmother take local medicine call emmumbwa help rectify pregnancy lose tube diagnose ectopic pregnancy receive treatment,Ectopic pregnancy,"Given her diagnosis, how should the patient's ectopic pregnancy be managed, and what steps have been taken to address her symptoms and ensure her well-being according to the guidelines?",Local medicine rectifies a pregnancy lost in the tubes.,"A pregnancy ic ectopic, cannot be transplanted so this medicine cannot be transplanted back to the uterus. The only way to manage it is to terminate it.",Do an ultra sound scan. Do an HCG test. Follow the treatment plan.
34 year old woman 10 day postpartum present heavy vaginal bleed fever abdominal pain shower herb call olweza make everything go well diagnose postpartum endomyometritis receive antibiotic therapy,Puerperal sepsis,"Based on her symptoms and postpartum status, how should the patient's postpartum endomyometritis be managed, and what are the guidelines for antibiotic therapy and supportive care?",Showering herbs makes everything go well for the mother.,"Be it as it may, its good to believe in good luck but it is important to be cautious about what can go wrong  and so live responsibly.",Maintain good hygiene. Do tests like CBC and urinalysis. Take antibiotics as prescribed.
27 year old woman 21 week pregnant present severe abdominal pain vaginal bleeding history recurrent miscarriage attend funeral believe spirit death follow midwife suspect intrauterine fetal death consider diagnostic test management potential complication,Intrauterine fetal death,"How should the patient's suspected intrauterine fetal death be evaluated and managed, and what are the guidelines for diagnostic tests and the management of potential complications?",Attending a burrial transfers the spirit of death to the mother and the unborn child.,"Many pregnant women attend burrials but not everyone looses their or dies, this is therefore not scientifically proven.",Do an ultra sound scan. Plan for pregnancy termination. Follow the treatment plan. Join a social support group. Get a family planning method to use until when ready to get pregnant.
26 year old woman 27 week pregnant present high fever severe headache muscle pain history travel region ongoing yellow fever outbreak tell go give birth yellow baby midwife suspect yellow fever viral hemorrhagic fever consider isolation supportive care,"Viral hemorrhagic fever (yellow fever, Ebola, Marburg, Lassa, etc.)","How should the patient's suspected yellow fever be managed, and what are the guidelines for isolation and supportive care in pregnancy?","When a pregnant mother suffers from yellow fever, she gives birth to a yellow baby.","Yellow fever is spread by a mosquito bite, it doesnot affect the skin color of the baby.",Isolate from other people to avoid spreading the disease. Take plenty of fluids and rest. Take immune boosters.
25 year old woman 20 week pregnant present severe abdominal pain contraction history previous cesarean section fear go loose baby midwife suspects placenta previa consider emergency delivery,Antepartum hemorrhage,"How should the patient's suspected placenta previa be managed, and what are the guidelines for emergency delivery in the case of placenta previa?",A baby dies when antepartum hemorrhage occurs.,"When antepartum hemorrhage occurs, the baby remains un affected as long as it is  managed timely.",Report to the health facility immediately. Do an ultra sound scan. Get plenty of rest. Follow the treatment plan.
26 year old woman 5 week postpartum present painful swollen area breast accompany high fever chill diagnose breast abscess receive treatment give herb home call omwetango heal breast,Breast abscess,"Based on her symptoms and postpartum status, how should the patient's breast abscess be managed, and what are the guidelines for treatment and supportive care?",Local herbs like (omwetango) can heal a breast abscess.,There is no scientific proof of this. A breast abscess is drained and then treated.,Do a CT scan. Do CBC. Continue breast feeding. Get a breast support pad. Follow the treatment plan.
30 year old woman 8 day post abortion present abdominal pain fever foul smell vaginal discharge culture woman must participate ritual avoid complication pregnancy diagnose septic abortion receive antibiotic therapy,Management of sepsis following abortion,"Based on her symptoms and post-abortion status, how should the patient's septic abortion be managed, and what are the guidelines for antibiotic therapy and further management?",Participating in rituals prevents pregnancy complications.,Pregnancy is a phenomenon that can be affected by various things. Complications can rise depending on a number of factors.,Do tests like CBC and urinalysis. Take antibiotics as prescribed. Take plenty of fluids.
