Scenario,Guidelines Required,Question,Misinformation or Myths,Misinformation counteraction/ clarity,Midwifery / Medical solution ( advice)
"A 24-year-old woman in labor has a transverse lie, making a vaginal delivery impossible. She believes that cesearean section is a way to dodging the pain. The healthcare team is planning for a cesarean section to ensure a safe delivery.",Transverse lie,"How has the patient's transverse lie been managed during labor, and what steps have been taken to plan for a cesarean section?",Cesearean section is a way to dodge labor pain during vaginal delivery.,"Cesearean section is also painful and after the procedure, a woman also feels pain, no to mention the pain while nursing the wound.",Do an obstetric ultrasoud scan. Counsel mother on the condition. Ensure fetal wellbeing. Prepare mother for emergency cesearean section.
"A 29-year-old woman in labor has a shoulder presentation, which is obstructing the delivery process. She read online that malpresentation occurs because the baby has abnormalities. The healthcare team is providing support and considering options for a safe delivery.",Shoulder presentation,"How has the patient's shoulder presentation been managed during labor, and what options have been considered for a safe delivery?",Malpresentation occurs because the baby has physical abnormalities.,"Malpresentation occurs due to various reasons but not abnormalities for example grandmultiparity, prematurity, uterine fibroids, transverse lie and placenta previa.",Do an obstetric ultrasound scan. Do an abdominal and vaginal examination. Counsel mother on the situation. Monitor fetal wellbeing. Prepare mother for an emergency cesearean section.
"A 30-year-old woman in labor is experiencing shoulder dystocia, making it difficult to deliver the baby. The woman thinks that the baby can be pushed back or the hand pulled  into a good position and the baby gets delivered. The healthcare team is working quickly to resolve the situation and ensure a safe delivery.",Shoulder dystocia (stuck shoulders),"How has the patient's shoulder dystocia been managed during labor, and what steps have been taken to ensure a safe delivery?",Baby can be pushed back or hand pulled into position to relive the shoulder dystocia.,"This is very dagerous and risky and it can cause bith injuries and trauma to the birth canal. With different manouevers, the baby can be delivered properly.",Be calm and don’t panic or pull the baby. Call for help. Give a bilateral generous episiotomy. Explain to mother and gurrantee her cooperation. Put mother in McRoberts position and apply suprapubic pressure to deliver the baby. If it fails turn mother on all fours and do other manourvers to deliver the baby. prepare for newborn rescusitation.
"A 28-year-old woman in labor has a compound presentation, with the baby's hand presenting alongside the head. She read online that this happens because the baby is too small. The healthcare team is considering the best approach for a safe delivery.",Compound presentation,"How has the patient's compound presentation been managed during labor, and what approach has been taken for a safe delivery?",Compound presentation happens because the baby is too small.,"Regardless of the size of the baby, a baby is supposed to achieve a good position and presentation for an easy delivery. Compound presentation, even in a baby with low birth weight cannot be delivered easily.","Do an ultrsound scan. Do not attempt to push back the extremities. Assess fetal wellbeing and observe for meconium staining if membranes have ruptured. Rescusitate mother with fluids. Prepare for newborm rescusitation. If there are no contraindications to vaginal delivery, wait for the head to be delivered."
"A 26-year-old woman in labor is experiencing prolonged labor, with slow progress in the active phase. She was told that takng tea with a lot of tea leaves quickens labor. The healthcare team is monitoring her closely and considering interventions to assist with the delivery.",Prolonged labor; Prolonged active phase,"How has the patient's prolonged labor and active phase been managed, and what interventions have been considered to assist with the delivery process?",Taking tea with too much tea leaves quickens labor.,The essence of taking tea is to aid the mother have energy to push. Taking tea with too much tea leaves can lead to prescipitate labor and uterine rupture due to over stimulation of the uterus.,"Do an ultrasound scan. Rupture membranes and observes for meconium staining. Rescusitate mother with IV fluids. Augment labor with oxytocin if contractions are inadequate. Continue monitoring the labour until vaginal delivery is achieved, if it fails deliver baby by cesearean section."
"A 26-year-old woman has just delivered her baby and is in the fourth stage of labor. In her culture, the woman is supposed to tie her abdomen after delivery. The healthcare team is providing postpartum care to ensure her well-being and the health of her newborn.",Management of the fourth stage and first 24 hours,"How has the patient's fourth stage of labor and the first 24 hours postpartum been managed, and what care has been provided to ensure her well-being and the health of the newborn?",Tying abdomen with cloth after delivery to make the abdomen small again.,"This is disastrous because it can lead to poor uterine involution after delivery, it should therefore be avoided. Through exercises, the abdomen can grow small.",Monitor vital signs. Initiate breastfeeding. Check for vaginal bleeding. Assess for contraction of the uterus. Transfer mother to a more comfortable place. Give routine medication like tetracycline to the baby and the vaccination like polio 0 and BCG vaccine. encourage regular bladder emptying. encourage mother to get enough rest.
"A 29-year-old woman with a prolonged labor requires augmentation to assist with the delivery process. In her village, traditional birth attendants are the best to trust for a good delivery. The healthcare team is considering the use of oxytocin to augment her labor.",Induction and augmentation of labor; Augmentation of labor using oxytocin,"How has the patient's prolonged labor been managed, and what steps have been taken to augment her labor using oxytocin?",Traditional birth attendants are the best at conducting deliveries.,"Traditional birth attendants have lost many mothers on their hands espescially if the mother has a complication, they rarely have up to date knowledge.",Infuse 2.5IU of oxytocin in 500ml of normal saline and give 10 drops per minute. Increase by 10 drops per minute in 30 minutes to achieve atleast 3 contractions. Monitor fetal wellbeing. Increase by 10 drops per minute bu t maximum should be 60 drops per minute until a satisfactory contractions partern is achieved. Stop augmentation if there are no contractions or signs of fetal distress.
A 28-year-old woman in labor is experiencing difficulty due to a breech presentation. She was told that women with bim bums give birth to babies with a breech presentation. The healthcare team is considering the best approach for a safe delivery.,Breech delivery,"How has the patient's breech presentation been managed during labor, and what approach has been taken for a safe delivery?",A woman with a big bum gives birth to a child with a breech presentation.,"A woman's physical structure has no influence on the presentation of the unborn child. The predisposing factors to breech presentation are grand multiparity, prematurity, placenta previa, multiple pregnancies and uterine fibroids.",Do an obstetric ultrasound scan. Do an abdominal and vaginal examination. Do pelvictometry to assess adequacy of the pelvis. Assess fetal wellbeing. If there are no contraindications to vaginal delivery then perform manouevers to delivery the baby.
"A 30-year-old woman in labor has a face presentation, making the delivery process more challenging. She was told that as long as the head coming out first can be delivered vaginally. The healthcare team is monitoring her closely and providing guidance for a safe delivery.",Face presentation,"How has the patient's face presentation been managed during labor, and what steps have been taken to assist with the delivery process?",Any baby with the head in the lower part of the uterus can be delivered vaginally.,"The baby can always be born vaginally if there no CPD, other parameters normal that is, longitudinal lie, cephalic presentation, right or left occipital anterior and well flexed. If the parameters deviate, the mother stands a risk of having a cesearean section delivery.","Do an obstetric ultrasound scan. Monitor wellbeing of the foetus. If mento-anterior position thenprepapre for vaginal delivery, if mento-posterior position, then prepare mother for cesearean section."
"A 26-year-old woman in labor has a brow presentation, which is complicating the delivery process. She was told that if a baby is not well positioned, all the babies come out like that. The healthcare team is considering interventions to assist with the delivery.",Brow presentation,"How has the patient's brow presentation been managed during labor, and what interventions have been considered to assist with the delivery process?",Malpresentation of a baby influences the presentation of the subsequent babies.,Every pregnancy is unique. Malpresentation in one pregnancy doesnot guarrantee the same case in subsequate pregnancies though the risk stands.,Do an ultrsound scan. Avoid augmentation or labour of instrunment delivery. Prepare mother for cesearean section.
A 27-year-old pregnant woman at 37 weeks of gestation has experienced a sudden gush of clear fluid from her vagina. She was told that this is caused by urinating in a dirty place. She is concerned about the rupture of membranes and the potential risk of infection.,Pre-labor rupture of membranes (PROM),"How has the patient's pre-labor rupture of membranes been managed, and what measures have been taken to prevent infection and ensure a safe delivery?",Urinating in a dirty place causes pre-labor rupture of membranes.,Urinating in a dirty place predisposes one to infections but doesnot directly cause pre-labour rupture of membranes.,"Do an ultrasound scan. Do tests like CBC, and urinalysis. Take antibiotics. Encourage plenty of bedrest. Monitor fetal wellbeing 2 hourly. Plan for delivery. Do pelvictometry to assess adequacy of the pelvis. Induce labour if it does not start spontaneously within 24 hours."
"A 29-year-old pregnant woman is expecting twins and is seeking guidance on the management of her multiple pregnancy. In her culture, eating fused bananas causes one to get multiple pregnancies. She is concerned about the increased risks associated with multiple pregnancies and the health of her babies.",Multiple pregnancies,"How has the patient's multiple pregnancy been managed, and what steps have been taken to address the increased risks and ensure the health of the babies?",Eating fused bananas causes one to get multiple pregnancies.,"Multiple pregnancies is not connected to eating fused bananas, it happens because of genetic predisposition, fertility medication and others.",Do a thourough abdominal examination. Attend ANC regularly. Take iron supplements regularly. Eat a balanced diet. Take plenty of fluids. 
"A 28-year-old woman in labor is experiencing slow progress during the first stage. In her culture, a pregnant woman is not supposed to eaty eggplants locally called ntula, otherwise her baby will have skin rash. The healthcare team is monitoring her closely and considering interventions to assist with the labor process.",Management of the first stage of labor,"How has the patient's slow progress during the first stage of labor been managed, and what interventions have been considered to assist with the labor process?",Eating eggplants causes the baby to have skn rash.,Eggplants are vegetables rich in minerals and vitamins needed in the body. Skin rash is a far fetched connection.,"Take thorough history of the current pregnancy. Look, listen and feel the mother's response to contractions and different happenings during labor. Do vaginal and abdominal examination to confirm labor. Do tests like blood haemoglobin level, blood gouping and cross-matching and urinalysis for acetone, protein and sugar. Assess fetal wellbeing. Monitor progress of labor on the partograph. Maintain proper hygiene. Provide labor companionship. Ensure proper nutrition."
A 30-year-old woman in the second stage of labor is experiencing difficulty in pushing the baby out. She was told that chewing garlic and having good hips eases labour. The healthcare team is providing support and guidance to help her through the process.,Second stage of labor,"How has the patient been supported and guided during the second stage of labor, and what steps have been taken to assist with the delivery of the baby?",Eating garlic and having good hips eases labor.,Having good hips maybe be an indicator that the pelvis has no abnormalities but this doesnot guarrantee a smooth delivery because there are other factors that be at play. Garlic is not scientifically proved to easee labor.,Ensure that all the delivery equipment are present. Prepare the rescusitation corner. Assist mother into the most comfortable position. Ensure that the bladder is emptied continuosly. Provide emotional support. Allow the mother to push at a contraction. wait until the head is out and support the perineum.
"A 26-year-old woman has just delivered her baby and is in the third stage of labor. In her culture, the placenta should be pushe by the mother. The healthcare team is monitoring the delivery of the placenta and ensuring that there is no excessive bleeding.",Third stage of labor,"How has the patient's third stage of labor been managed, and what measures have been taken to ensure the safe delivery of the placenta and prevent excessive bleeding?",Placenta should be pushed by the mother.,"In expectant management, this can be done but this increases the risk of having placenta retained. Assisted management of the third stage of labour is commonly practised.","Massage uterus to rule out presence of an undiagonized twin. Administer oxytocin intramuscularly like 10 international units. Delay cord cutting and clampinf for 3 minutes. Clamp and cut the cord. Place hand above symphysis pubis and deliver the placenta by controlled cord traction. Check placenta for infacts, completeness and adnormalities."
"A 25-year-old pregnant woman is experiencing severe nausea and vomiting, leading to dehydration and weight loss. She was told that she is not supposed to eat fish because the child will gape like a fish. She is diagnosed with hyperemesis gravidarum and receives treatment to manage her symptoms and ensure her well-being and the health of her baby.",Hyperemesis gravidarum,"How has the patient's hyperemesis gravidarum been diagnosed and managed, and what measures have been taken to ensure her well-being and the health of her baby?",Eating fish makes the child gape like a fish.,Fish is rich in omega 3 and omega 6 which is beneficial to a woman's health especially if pregnant. ,Get up slowly from the bed. Brush one hour after a meal. Avoid fatty and spicy foods. Eat small but frequent meals. Drink ginger teas. Inhale peppermint oils. Eat dry foods. Take antiemetics like metroclopramide and antihistamines. Increase fluid intake to counter dehydration.
A 26-year-old pregnant woman has received the devastating news of intrauterine fetal death during a routine ultrasound examination. She was told that this is caused by sitting while streching only one leg which squeezes the child. She is distraught and seeks support and guidance on the next steps.,Intrauterine fetal death,"How has the patient been supported and guided following the diagnosis of intrauterine fetal death, and what steps have been taken to manage the situation?",IUFD is caused by sitting while only one leg is stretched thus squeezing the child in-utero.,"IUFD is caused by complications of pregnancy like hypertension, gestational diabetes, congenital abnormalities, oligohydrominous, placental abnormalities and others.","Do an obstetric ultrasound scan. Do tests like CBC, blood grouping and cross-matching, blood slide for malaria, random blood sugar, rhesus factor, syphilis test, urinalysis and others. Draw plan of management. Ensure blood availability. Rescusitate mother with fluids. "
A 30-year-old pregnant woman at 36 weeks of gestation is experiencing severe pain and discomfort due to a breech presentation. Her grandmother told her that she is not supposed to tie anything around the stomach because it causes abnormalities to the pregnancy. She is concerned about the safety of her delivery and the health of her baby.,Breech presentation,"How has the patient's breech presentation been managed, and what steps have been taken to ensure a safe delivery and the health of the baby?",Tying anything around the stomach causes abnormalities to the pregnancy.,"Breech presentation is caused by grand multiparity, prematurity, placenta previa, multiple pregnancy and uterine fibroids.",Do an obstetric ultrasound scan. Do an abdominal examination. Do external cephalic version with caution after gaining consent from the mother. Assess fetal wellbeing. 
A 28-year-old pregnant woman has been diagnosed with gestational diabetes during a routine glucose tolerance test. She was told that people who eat too many sweets are the ones who get gestational diabetes. She is worried about the impact of gestational diabetes on her pregnancy and the well-being of her baby.,Gestational diabetes,"How has the patient's gestational diabetes been managed during her pregnancy, and what measures have been taken to ensure the health of the baby?",Eating too many sweets causes gestational diabetes.,Eating too many sweets does not cause gestational diabetes as long as the blood sugar is regulated. Gestational diabetes can be caused when blood sugar is not well regulated due to insulin resistance.,"Do tests like random blood sugar, eye exam, LFT, RFT, HBA1C, urine albumin creatinine ration and serum vitamin B12. Do physical exercises. Improve on diet. Learn self-glucose monitoring. Use medication to regulate blood sugar if non-phamacological means fail."
A 24-year-old pregnant woman at 34 weeks of gestation is experiencing regular contractions and signs of preterm labor. She is anxious about the possibility of delivering her baby prematurely and the associated risks. She was told that prematures either die or have complications.,Preterm (premature) labor,"How has the patient's preterm labor been diagnosed and managed, and what steps have been taken to ensure the well-being of the baby?",Prematures always die or get complications.,"Prematures stand various risks but if managed adequately, the baby survives and may not have complications.","Do an obstetric ultrasound scan. Do tests like mRDT malaria test and any other tests to establish any infection and treat. Administer emergency medicines like dexamethasone, antibiotics and magnesium sulphate. Get plenty of bedrest. Monitor fetal wellbeing."
"A rural health center is experiencing a shortage of essential medical supplies, including antibiotics, oxytocin, and IV fluids. Patients argue that they shouldnot buy anything in a government hospital. The healthcare staff are working to prioritize available resources and coordinate with nearby facilities for support.",Health supplies,"How has the health center managed the shortage of essential medical supplies, and what steps have been taken to prioritize resources and coordinate with nearby facilities for support?",Patients should not buy anything in a government hospital.,Patients should not be buying anything in a government hospital but sometimes supply of resources delays and sometimes the demand is greayer than what is supplied. Patients should therefore be ready to incur a little cost when it is absolutely necessary.,Take stock of the available resources. Management should be improved. Security of supplies should be ensured. Records of output should be noted and balanced with the remainder in the store. Timely request for restocks should be done.
"A pregnant woman is receiving goal-oriented antenatal care at a local health facility. The healthcare team provides comprehensive assessments, health education, and interventions tailored to the woman's specific needs and risk factors. The woman says that scans are dangerous to the body and they cause cancer.",Goal-oriented ANC,"What components of goal-oriented antenatal care have been provided to the pregnant woman, and how has her care been tailored to her specific needs and risk factors?",Ultrasound scan s are dangerous and they cause cancer.,"Ultrasound scans are a necessary evil, exposure to the electrons can be disastrous, the risk is minimized when it is not done often. Ultrasound scans should therefore not be done as a routine, only in once in evry trimester or when there is a complication.","Tests like HIV serolology, syphilis test, hepatitis B test, malaria test, UTI test and others. Abdominal examination to ensure that the child is growing. Arthropometric measurements to monitor growth. IPT as prophylaxis for malaria. Iron supplements to prevent anemia. health education talks. vaccination like tetanus vaccine."
"A 28-year-old pregnant woman is feeling fatigued and has pale skin. She is diagnosed with anemia and receives treatment to improve her iron levels and overall health during pregnancy. In her culture, anaemia is caused by someone standng over you while youre seated.",Anaemia in pregnancy,"How has the patient's anemia been diagnosed and managed during her pregnancy, and what steps have been taken to improve her iron levels and overall health?",Anaemia is caused by someone standing over you while you are seated.,Someone standing over another who is seated is not connected to anaemia. It is a result of low HB count which be caused by less production due to iron deficiency or excessive breakdown of red blood cells like in severe malaria and leukemia.,"Do tests for HB estimation. Do a full haemogram. Do other tests like CBC, blood grouping and crossmatching, reticulocyte count, urinalysis, malaria test and others. Rest in propped up position. Administer oxygen using a facemask. Give fluids lke normal saline intraveneously. Transfuse with packed cells along witha diuretic like furosemide. Treat underlying cause. Increase intake of iron, proteins and vitamins."
A 30-year-old pregnant woman living in a malaria-endemic area is diagnosed with malaria. She was told that drinking herbs like mululuza (local herbs) cures malaria. She receives treatment to manage the infection and prevent complications for herself and her unborn baby.,Management of malaria in pregnancy,"How has the patient's malaria been diagnosed and managed during her pregnancy, and what measures have been taken to prevent complications for both the mother and the unborn baby?",Local herbs called mululuza cure malaria.,Local herbs are not regulated and they can have side effects that can range from mild to severe with no known remedy. They are also easily contaminated.,"Do a blood slide test, CBC, urinalysis, HIV serology test, blood culture and others. Take an analgesic and antipyretic like paracetamol. Take antimalarials prescribed from a recognized facility. Take plenty of fluids. Eat a balanced diet. Increase the nutritional supply or iron, proteins and vitamins."
A 26-year-old pregnant woman with a history of hypertension is experiencing severe headaches and blurred vision. She was told that this is caused by overquarreling and not resting. She is diagnosed with preeclampsia and receives treatment to manage her blood pressure and protect her health and that of her baby.,Management of hypertensive disorders in pregnancy,"How has the patient's preeclampsia been diagnosed and managed during her pregnancy, and what steps have been taken to manage her blood pressure and protect the health of both the mother and the baby?",Overquarreling and not resting causes preeclampsia.,"Preeclampsia is caused by trophoblastic invasion from the placenta, blood vessel invasion, genetic predisposition and others.","Do tests like CBC, urinalysis, RFTs, LFTs and other tests. Administer magnesium sulphate to control fits. Administer antihypertensives like labetarol, nifedipine, methyldopa and others. Get plenty of rest. "
"A newborn is delivered in a rural clinic without advanced medical facilities. In her culture the baby is supposed to be kept indoors until 4 days elapse after delivery. The healthcare staff quickly assess the baby's condition and provide the necessary immediate care, including drying, warming, and initiating breastfeeding.",Care of the newborn; Immediate care in the first 60 minutes,"What immediate care was provided to the newborn in the first 60 minutes, and how was the mother involved in the care process?",Baby is to be kept in doors till 4 days elapse after delivery.,A baby can benefit from the early morning sun but if the environment is dirty then the baby can be kept indoors.,Cut cord and tie it. Note the time of delivery. Dry the baby thoroughly and keep it warm. Monitor the vital signs after taking the Apgar score. Do a quick examination to rule out abnomalities. Measure babies weight and take the length. Check if baby has passed urine and stool. initiate breastfeeind. Keep baby skin-to-skin. Administer the routine medication and vaccines. Check fr te different reflexes.
"A 3-day-old newborn is brought to the clinic with signs of difficulty breathing, poor feeding, and lethargy. In her culture, whe a woman eats liver when pregnant, the baby passes stool all the time. The healthcare team quickly assesses the baby's condition and provides appropriate care to stabilize the newborn.",Care provided for a newborn identified with danger signs,"What care has been provided to the newborn identified with danger signs, and how has the healthcare team worked to stabilize the baby's condition?",Eating liver when pregnant makes the baby poop all the time.,Liver contains good fat that is important for the mother. Eating liver doesnot have a connection with a baby passing stool all trhe time.,"Monitor vital signs of the baby and record them. Do a thorough newborn examination. Note down the danger signs identified. Continue breastfeeding the child, if he or she cannot breastfeed then express the milk and feed the baby orally. Administer antibiotics and other medications required. keep the baby warm at all times. "
"A 5-day-old newborn with severe jaundice requires referral to a higher-level facility for phototherapy and further evaluation. In her culture, a mother is not supposed to jump over the cloth used first on the child, lest the baby gets complications. The healthcare staff coordinate the referral process and ensure the baby is transferred safely.",Referral of a sick newborn,"What steps have been taken to refer the sick newborn to a higher-level facility for phototherapy, and how was the referral process coordinated to ensure a safe transfer?",Jumping over the first cloth used on a baby by its mother causes the baby to have complications.,Jumping over the first cloth of the child has no proved implication on the health pf the baby.,Keep baby skin-to-skin with the mother. Note down all the details about the baby in the file and make a thorough referral note. Breastfeed the baby. 
A local community in a remote area actively participates in a reproductive health program to improve maternal and newborn health outcomes. Some community memebera argue that family planning methods cause infertility. Community leaders and members engage in health education and awareness activities.,Community participation in reproductive health programs,"What role has the community played in the reproductive health program, and how has their active participation contributed to the improvement of maternal and newborn health?",Family planning causes infertility.,"Family planning delays pregnancy but if pregnancy is desired, family planning can be discontinued. And not every family planning method can be used by any one, peopl should seek advice before picking on a method.",Encourage male involvement. Encourage people to ask questions to as to dispel misconceptions. Sensitize the community on available health programs and how to benefit from them. Train and recruit people on the village health teams.
A 24-year-old pregnant woman with severe pre-eclampsia requires referral to a tertiary hospital for further evaluation and management. She fears that she is going to die and that the medics cannot help her. The healthcare team at the clinic coordinates the referral process and ensures a smooth transfer.,Referral,"What steps have been taken to refer the patient with severe pre-eclampsia to a higher-level facility, and how was the referral process coordinated to ensure a safe transfer?",Patient is going to die and medics cannot help.,"the pint in a referral is to take a patient where she can get more and better services in order to same her life. Not all facilities are the same, some provide more comprehensive services that some patients need.",Organise all the patient records in her file. Admisiter magnesium sulphate to prevent convulsions. Monitor fetal wellbeing and document. Rescusitate mother with fluids. A trained personnel must accompany the mother to the refferral point.
"A 32-year-old breastfeeding mother comes to the clinic with a painful, swollen lump in her right breast. She read online that a breast abscess is caused by wearing bras when breastfeeding. She has a history of recurrent mastitis and has been experiencing fever for the past two days.",Breast abscess,"How has the patient's breast abscess been diagnosed and managed, considering her previous history of mastitis?",Wearing bras when breastfeeding causes a breast abscess.,Wearing a bra doesnot affect the breast as long as it is comfortable. The bra should be washed regularly to prevent infections.,Use a warm compress. Get a good bra to support the breast. Do tests like CBC and an x-ray of the breast. Continue breastfeeding. Take antibiotics as prescribed.
"A 28-year-old pregnant woman who tested positive for HIV during her antenatal visit is concerned about the health of her unborn child. She is receiving antiretroviral therapy and attending regular antenatal check-ups. She was told that since she is positive, her child is also positive.",HIV/AIDS in pregnancy,"What steps have been taken to manage the patient's HIV/AIDS during her pregnancy, and how has the health of the unborn child been considered?",An HIV/AIDS positive mother carried an HIV/AIDS positive child.,"A mother who is HIV positive is very much capable of carrying a child and he or she does not get infected. This is achieved through keeping healthy, adhering to medication and delivering from a hospital.",Continue taking the ARVs. Seek advise on the best regimen to follow. Do a viral load count test to asess the risk. Eat a balanced diet. Treat any infection immediately. Take plenty of fluids. Keep the body active to make it strong. Get partner tested and also started on treatment. Plan for delivery from a hospital. Get nevirapine syrup for the child at birth.
