Scenario,Guidelines Required,Question,Misinformation or Myths,Misinformation counteraction/ clarity,Midwifery / Medical solution ( advice)
"A 28-year-old woman, 12 days post-abortion, presents with abdominal pain, fever, and foul-smelling vaginal discharge. She has been diagnosed with septic abortion and is receiving antibiotic therapy. She read online that if an abortion is done from the hospital then nothing can go wrong.",Management of sepsis following abortion,"Based on her symptoms and post-abortion status, how should the patient's septic abortion be managed, and what are the guidelines for antibiotic therapy and further management?",Abortion done in a hospital cannot become septic.,Abortion done in the hospital has less chances of becoming sensitive compared to the one one done at home. Septiceamia can occur due to a number of reasons and some of them base on the way the patient takes care of herself after abortion.,Do tests like CBC and Urialysis. Take plenty of fluids. Take antibiotics as prescribed and the rest of the treatment plan. Get a family planning method until when ready to get pregnant again.
"A 31-year-old woman, 38 weeks pregnant, presents with painful, recurrent genital ulcers. She has a history of genital herpes. In her culture, people believe that only trashy and poor people get STIs. The midwife is considering antiviral therapy and the management of potential complications.",Genital ulcers,"How should the patient's condition be managed, and what are the guidelines for antiviral therapy and the management of potential complications in pregnancy?",Only trashy and poor people get STIs.,"Anyone rich or poor, trashy or not, can get an STI.","Maintain good hygiene. Do tests like urinalysis, VDRL and others. Follow the treatment plan. Get partner to test as well and get treatment."
"A 29-year-old woman, 34 weeks pregnant, presents with abdominal pain and contractions. She has been diagnosed with preterm labor and is receiving treatment to delay labor and reduce the risk of complications. She fears that she has caused this because she is weak.",Preterm (premature) labor,"Given her diagnosis, how should the patient's preterm labor be managed, and what steps have been taken to delay labor and reduce the risk of complications according to the guidelines?",A weak mother causes preterm labour.,"Preterm labour has nothing to do with a weak mother or strong one, it can be caused by infections, trauma and sometimes the cause is not known.",Take plenty bedrest. Take plenty of fluids. Do an ultrasound scan. Follow the treatment plan.
"A 30-year-old woman, 31 weeks pregnant, presents with a severe headache, blurred vision, and upper abdominal pain. Her blood pressure is significantly elevated, and she has proteinuria. She was told that if she rests then she will delay the onset of pressure symptoms. The midwife suspects eclampsia and is considering antihypertensive medications and further management.",Management of hypertensive disorders in pregnancy,"Based on her symptoms and findings, how should the patient's suspected eclampsia be managed, and what are the guidelines for antihypertensive medications and further management in pregnancy?",Resting delays the onset of pressure symptoms.,Resting does not determine the onset of pressure symptoms. They can happen when the person is resting or not.,Do some light exercises to improve blood circulation. Eat a balanced diet. Do an ultrssound scan. Follow the treatment plan.
"A 32-year-old woman, 20 weeks pregnant, presents with severe abdominal pain and vaginal bleeding. She has been diagnosed with an ectopic pregnancy and is receiving treatment. She was told that an ectopic pregnancy does not occur the normal way.",Ectopic pregnancy,"Given her diagnosis, how should the patient's ectopic pregnancy be managed, and what steps have been taken to address her symptoms and ensure her well-being according to the guidelines?",Ectopic pregnancy doesnot occur the normal way.,"An ectopic pregnancy occurs the normal way, the only thing that goes wrong is the implantation, instead of happening in the uterus, it occurs and grows from else where.",Do an ultra sound scan. Do an HCG test. Follow the treatment plan.
"A 36-year-old woman, 13 days postpartum, presents with heavy vaginal bleeding, fever, and abdominal pain. She has been diagnosed with postpartum endomyometritis and is receiving antibiotic therapy. She refused to take any modern medication saying that they will affect her child as she breastfeeds.",Puerperal sepsis,"Based on her symptoms and postpartum status, how should the patient's postpartum endomyometritis be managed, and what are the guidelines for antibiotic therapy and supportive care?",Modern medication affects the child during breast feeding.,"During breastfeeding, some medication can be secreted in breast milk, but even if this happens, the medication prescribed during this period will not have any harm towards the baby.",Avoid over the counter medication. Do tests like CBC and urinalysis. Follow the treatment plan.
"A 27-year-old woman, 24 weeks pregnant, presents with severe abdominal pain and vaginal bleeding. She has a history of recurrent miscarriages. In her culture, when a woman carries a baby for a longer time, it means that the baby will be strong. The midwife suspects an intrauterine fetal death and is considering diagnostic tests and the management of potential complications.",Intrauterine fetal death,"How should the patient's suspected intrauterine fetal death be evaluated and managed, and what are the guidelines for diagnostic tests and the management of potential complications?",Carrying a baby post-term makes a strong baby.,"Post-term pregnancy is one of the risk factors for intrauterine fetal death. The closer to term that the baby is delivered, the better.",Do an ultrasound scan. Do tests like CBC and urinalysis. Terminate pregnancy as soon as possible.
"A 28-year-old woman, 30 weeks pregnant, presents with a high fever, severe headache, and muscle pain. She has a history of travel to a region with an ongoing Marburg virus outbreak. She claims that she smoked herself with protective herbs against any diseases. The midwife suspects Marburg fever, a viral hemorrhagic fever, and is considering isolation and supportive care.","Viral hemorrhagic fever (Marburg, Ebola, Lassa, yellow fever, etc.)","How should the patient's suspected Marburg fever be managed, and what are the guidelines for isolation and supportive care in pregnancy?",Smoking herbs and inhaling some of the smoke is protective against diseases.,Marburg virus is transimitted to humans from fruit bats and spreads among humans through human-human transmission. This is not affected by any smoke.,Avoid blood and body fluids of people who are infected. Take immune boosters like vitamins. Take plenty of fluids.
"A 30-year-old woman, 34 weeks pregnant, presents with severe abdominal pain and contractions. She has a history of a previous cesarean section. She was told that any bleeding during pregnancy is a sign of an abortion. The midwife suspects placental abruption and is considering emergency delivery.",Antepartum hemorrhage,"How should the patient's suspected placental abruption be managed, and what are the guidelines for emergency delivery in the case of placental abruption?",Any bleeding during pregnancy is a sign of abortion.,"Any pregnany that grows beyond 23 weeks of gestation is no longer considered as an abortion. Intrapartum bleeding can be caused by trauma, placenta abruption, placenta previa and others.","Get plenty of bedrest. Do an ultra sound scan. Do tests like CBC, blood grouping and cross-matching. Follow the treatment plan."
"A 28-year-old woman, 7 weeks postpartum, presents with a painful, swollen area in her breast, accompanied by a high fever and chills. She thinks that this happening because her baby bite her when he was breastfeeding. She has been diagnosed with a breast abscess and is receiving treatment.",Breast abscess,"Based on her symptoms and postpartum status, how should the patient's breast abscess be managed, and what are the guidelines for treatment and supportive care?",Breast abscess is caused is a bite from the baby while breastfeeding.,Breast abscess usually follows after mastitis but it is not caused by a bite from the baby.,Use a warm compress. Get a support bra to hold the breast in one place. Continue breast feeding. Follow the treatment plan.
"A 27-year-old woman, 11 days post-abortion, presents with abdominal pain, fever, and foul-smelling vaginal discharge. She was told that sepsis only affects people in hospitals. She has been diagnosed with septic abortion and is receiving antibiotic therapy.",Management of sepsis following abortion,"Based on her symptoms and post-abortion status, how should the patient's septic abortion be managed, and what are the guidelines for antibiotic therapy and further management?",Sepsis only affects people in hospitals.,"Sepsis can affect anyone who is at risk from anywhere. After an abortion, there is a wound that is created, if this is not well cared for, sepsis can occur.",Do tests like CBC and urinalysis. Take plenty of fluids. Eat a balanced diet. Exercise daily. Take antibiotics as prescribed. Maintain a good hygiene.
"A 30-year-old woman, 37 weeks pregnant, presents with painful, recurrent genital ulcers. She has a history of genital herpes. She was told that a person with genital herpes cannot have children and if pregnant, the child dies.  The midwife is considering antiviral therapy and the management of potential complications.",Genital ulcers,"How should the patient's condition be managed, and what are the guidelines for antiviral therapy and the management of potential complications in pregnancy?",A person with genital ulcers cannot have children.,"Genital ulcers do not affect the childbearing capacity of a woman, or man for that matter. However, there is a chance that a baby in-utero can acquire it from the mother, but with medicine prescribed, this can be prevented.",Maintain a good hygiene. Take plenty of fluids. Do tests like CBC and urinalysis. Follow the treatment plan.
"A 28-year-old woman, 33 weeks pregnant, presents with abdominal pain and contractions. She blames herself because she thinks that she caused. She has been diagnosed with preterm labor and is receiving treatment to delay labor and reduce the risk of complications.",Preterm (premature) labor,"Given her diagnosis, how should the patient's preterm labor be managed, and what steps have been taken to delay labor and reduce the risk of complications according to the guidelines?",Mother causes it.,Preterm labour cannot be blames on the mother because it can happen even to one who is most conscious.,Do tests and treat any infections. Get plenty of bedrest. Do an ultrsound scan. Follow the treatment plan.
"A 29-year-old woman, 30 weeks pregnant, presents with a severe headache, blurred vision, and upper abdominal pain. Her blood pressure is significantly elevated, and she has proteinuria. She thinks that preeclampsia is caused by mistreatment by her in-law. The midwife suspects eclampsia and is considering antihypertensive medications and further management.",Management of hypertensive disorders in pregnancy,"Based on her symptoms and findings, how should the patient's suspected eclampsia be managed, and what are the guidelines for antihypertensive medications and further management in pregnancy?",Preeclampsia is caused by mistreatment by an in-law.,"Preeclampsia is caused by trophoblastic invasion from the placenta, vascular invasion, genetic predisposition, prior preeclampsia in previous pregnancies and sometimes the cause is notnormal.",Report to the health facility immediately. Do an ultrasound scan. Follow the treatment plan. Do some slight exercises. Take plenty of rest.
"A 31-year-old woman, 19 weeks pregnant, presents with severe abdominal pain and vaginal bleeding. She has been diagnosed with an ectopic pregnancy and is receiving treatment. In the village, people believe that ectopic pregnancies are caused by the devil.",Ectopic pregnancy,"Given her diagnosis, how should the patient's ectopic pregnancy be managed, and what steps have been taken to address her symptoms and ensure her well-being according to the guidelines?",Ectopic pregnancy is caused by the devil.,"Ectopic pregnancy is caused by prior fallopian tube surgery, pelvic inflammatory disease, endometriosis, previous ectopic pregnancy and others.",Do an ultrasound scan. Do an HCG test. Take some painkillers. Follow the treatment plan.
"A 35-year-old woman, 12 days postpartum, presents with heavy vaginal bleeding, fever, and abdominal pain. She has been diagnosed with postpartum endomyometritis and is receiving antibiotic therapy. She has been using local herbs to wash her perineum, she was told that this will make it go back to the pre- pregnancy state.",Puerperal sepsis,"Based on her symptoms and postpartum status, how should the patient's postpartum endomyometritis be managed, and what are the guidelines for antibiotic therapy and supportive care?",Local herbs make the perineum tight again.,Local herbs are not regulated and can easily be contaminated. Perineum muscles can be restored through kegel exercises. Washing the perinuem with herbs exposes it to infections.,Avoid washing the perinuem with herbs instead use plain clean water. Do tests like CBC and urinalysis. Take antibiotics as prescribed. Take plenty of fluids. Eat a balanced diet.
"A 26-year-old woman, 23 weeks pregnant, presents with severe abdominal pain and vaginal bleeding. She has a history of recurrent miscarriages. She claims that her babies die because she was cursed. The midwife suspects an intrauterine fetal death and is considering diagnostic tests and the management of potential complications.",Intrauterine fetal death,"How should the patient's suspected intrauterine fetal death be evaluated and managed, and what are the guidelines for diagnostic tests and the management of potential complications?",IUFD is caused by curses.,"IUFD is usually caused by pregnancy complications like preeclampcia, gestational diabetes,  post term pregnancies and others.","Do an ultrasound scan. Do tests like CBC, urinalysis, blood grouping and crossmatching. Plan for immediate pregnancy termination. Join a social support group for emotional support. Get on family planning until ready for another pregnancy."
"A 27-year-old woman, 29 weeks pregnant, presents with a high fever, severe headache, and muscle pain. She has a history of travel to a region with an ongoing Marburg virus outbreak. She was told that if you eat a fruit bat, they you get immunity against the disease. The midwife suspects Marburg fever, a viral hemorrhagic fever, and is considering isolation and supportive care.","Viral hemorrhagic fever (Marburg, Ebola, Lassa, yellow fever, etc.)","How should the patient's suspected Marburg fever be managed, and what are the guidelines for isolation and supportive care in pregnancy?",Eating a fruit bat gives one immunity against marburg fever.,There is no vaccine against marburg disease and eating the bird also does not give immunity.,Avoid blood and body fluids of people who are infected. Take immune boosters like vitamins. Take plenty of fluids.
"A 28-year-old woman, 33 weeks pregnant, presents with severe abdominal pain and contractions. She has a history of a previous cesarean section. The midwife suspects placental abruption and is considering emergency delivery. She was told that a woman bleeds because the baby is trying to get out.",Antepartum hemorrhage,"How should the patient's suspected placental abruption be managed, and what are the guidelines for emergency delivery in the case of placental abruption?",Bleeding occurs because the baby is trying to move out.,"Antepartum heamorrhage is an obstetric emergency, it is caused by abruptio placentae, placenta previa, vasa previa and trauma. It is not caused by the foetus.",Do an ultrasound scan. Get plenty of bedrest. Do tests like blood grouping and crossmatching. Take plenty of fluids. Follow the treatment plan.
"A 30-year-old woman, 6 weeks postpartum, presents with a painful, swollen area in her breast, accompanied by a high fever and chills. She thinks that she is being bewitched by her friend who doesnot have a child. She has been diagnosed with a breast abscess and is receiving treatment.",Breast abscess,"Based on her symptoms and postpartum status, how should the patient's breast abscess be managed, and what are the guidelines for treatment and supportive care?",Breast abscess is caused by witchcraft.,Breast abscess usually follows after mastitis and it is caused by a bacterial infection but not witchcraft.,Use a warm compress. Get a support bra to hold the breast in one place. Continue breast feeding. Follow the treatment plan.
"A 26-year-old woman, 10 days post-abortion, presents with abdominal pain, fever, and foul-smelling vaginal discharge. She was told that poking the uterus through the vagina can get the baby safely out. She has been diagnosed with septic abortion and is receiving antibiotic therapy.",Management of sepsis following abortion,"Based on her symptoms and post-abortion status, how should the patient's septic abortion be managed, and what are the guidelines for antibiotic therapy and further management?",Poking the uterus through the vagina can get the bay aborted.,Abortion that is not done from the hospital with a clean environment can easily become septic. It is therefore recommended to avoid doing abortions outside the hospital.,Do an ultrasound scan. Maintain good hygiene. Take plenty of fluids. Eat a balanced diet. Take antibiotics as prescribed.
"A 29-year-old woman, 36 weeks pregnant, presents with painful, recurrent genital ulcers. She has a history of genital herpes. She read online that only certain people can get genital ulcers. The midwife is considering antiviral therapy and the management of potential complications.",Genital ulcers,"How should the patient's condition be managed, and what are the guidelines for antiviral therapy and the management of potential complications in pregnancy?",Only certain people can get genital ulcers.,Anyone who is sexually active is at risk of getting genital ulcers. It is sexually transmitted and some people are asymptomatic carriers so you may never know who has it.,Maintain a good hygiene. Practice protected sex. Do tests like CBC and other specific ones. Follow the treatment plan. Get partner tested and treated.
"A 27-year-old woman, 32 weeks pregnant, presents with abdominal pain and contractions. She claims that her baby is grown enough and so wants to come out. She has been diagnosed with preterm labor and is receiving treatment to delay labor and reduce the risk of complications.",Preterm (premature) labor,"Given her diagnosis, how should the patient's preterm labor be managed, and what steps have been taken to delay labor and reduce the risk of complications according to the guidelines?",A baby who is grown enough causes preterm labour to occur.,Every baby needs the full term period in order to grow maximumly. The baby therefore does not cause preterm labour to occur.,"Get plenty of bedrest. Do an ultra sound scan. Do tests like CBC, blood grouping and cross-matching. Follow the treatment plan."
"A 30-year-old woman, 29 weeks pregnant, presents with a severe headache, blurred vision, and upper abdominal pain. Her blood pressure is significantly elevated, and she has proteinuria. She was told that preeclampsia is a big illness and it doesnot heal. The midwife suspects eclampsia and is considering antihypertensive medications and further management.",Management of hypertensive disorders in pregnancy,"Based on her symptoms and findings, how should the patient's suspected eclampsia be managed, and what are the guidelines for antihypertensive medications and further management in pregnancy?",Preeclampsia is a big illness and it doesnot heal.,"Preeclampsia is an obstetric emergency, it may not heal completely but its impact reduces with removal of the placenta. The risk of it re-occuring remains in subsequent pregnancies.","Do an ultrasound scan. Do tests like CBC, urinalysis, RFTs and LFTs. Follow the treatment plan."
"A 31-year-old woman, 18 weeks pregnant, presents with severe abdominal pain and vaginal bleeding. She has been diagnosed with an ectopic pregnancy and is receiving treatment. She was told that ectopic pregnancies are not much to worry about, with time the pregnancy moves to the uterus and it grows normally. ",Ectopic pregnancy,"Given her diagnosis, how should the patient's ectopic pregnancy be managed, and what steps have been taken to address her symptoms and ensure her well-being according to the guidelines?","Ectopic pregnancy is nothing to worry about, with time it moves to the uterus and it grows normally.","An ectopic pregnancy is life treatening, if it is not managed, it can rupture causing hemorrhage and risk for death. This can even lead to reduced chances of getting pregnant again as it can cause removal of fallopian tubes or scarring of the fallopian tube.",Do an ultrasound scan. Do an HCG test. Take some painkillers. Take plenty of fluids. Do a blood grouping and cross-matching test. Follow the treatment plan.
"A 34-year-old woman, 11 days postpartum, presents with heavy vaginal bleeding, fever, and abdominal pain. In her culture, a woman who has just given birth is not allowed to move or anything, ahe is only supposed to rest and feed the child. She has been diagnosed with postpartum endomyometritis and is receiving antibiotic therapy.",Puerperal sepsis,"Based on her symptoms and postpartum status, how should the patient's postpartum endomyometritis be managed, and what are the guidelines for antibiotic therapy and supportive care?",A woman post-delivery is not supposed to move at all.,"Exercises help to facilitate healing, this reducs the risk of pueperal sepsis. ",Do light exercises daily. Take plenty of fluids. Eat a balanced diet. Do tests like CBC. Do an ultrasound scan. Follow the treatment plan.
"A 26-year-old woman, 22 weeks pregnant, presents with severe abdominal pain and vaginal bleeding. She has a history of recurrent miscarriages. In her village, when a woman does not go to a traditional birth atendant, the baby always dies. The midwife suspects an intrauterine fetal death and is considering diagnostic tests and the management of potential complications.",Intrauterine fetal death,"How should the patient's suspected intrauterine fetal death be evaluated and managed, and what are the guidelines for diagnostic tests and the management of potential complications?",Not going to a traditional birth attendant leads to intrauterine fetal death.,"IUFD is usually caused by pregnancy complications like preeclampcia, gestational diabetes,  post term pregnancies and others.","Do an ultasound scan. Do tests like CBC, blood grouping and crossmatching. Terminate pregnancy immediately. Join a social support group. Get a family planning method to use until when ready to have another child."
"A 27-year-old woman, 28 weeks pregnant, presents with a high fever, severe headache, and muscle pain. She has a history of travel to a region with an ongoing Marburg virus outbreak. The people in the area have a theory that if one doesnot eat fruits then he or she cannot get the disease. The midwife suspects Marburg fever, a viral hemorrhagic fever, and is considering isolation and supportive care.","Viral hemorrhagic fever (Marburg, Ebola, Lassa, yellow fever, etc.)","How should the patient's suspected Marburg fever be managed, and what are the guidelines for isolation and supportive care in pregnancy?",Avoiding the eating of fruits protects one from the disease.,Fruit bats are the ones that transmit the disease to humans but the fruits do not be infected. The disease also spreads through human-to-human interactions.,Avoid blood and body fluids of people who are infected. Take immune boosters like vitamins. Take plenty of fluids.
"A 33-year-old woman, 38 weeks pregnant, presents with severe abdominal pain and bleeding. She has a history of a previous cesarean section. Her grandmother told her that when the baby has grown in the womb, he or she bites the mother and the mother bleeds. The midwife suspects placental abruption and is considering emergency delivery. ",Antepartum hemorrhage,"How should the patient's suspected placental abruption be managed, and what are the guidelines for emergency delivery in the case of placental abruption?",A grown baby in-utero can bite the mother and she bleeds.,"In-utero, the baby does not have teeth and he or she cannot bite the mother. The blleding is caused by placenta previa, abruptio placentae and others.",Do an ultra sound scan. Monitor the fetal wellbeing. Get plenty of bedrest. Take plenty of fluids. Follow the treatment plan.
"A 27-year-old woman, 7 weeks postpartum, presents with a painful, swollen area in her breast, accompanied by a high fever and chills. She thinks that someone with dirty hands touched her bras and caused her breast to become sick. She has been diagnosed with a breast abscess and is receiving treatment.",Breast abscess,"Based on her symptoms and postpartum status, how should the patient's breast abscess be managed, and what are the guidelines for treatment and supportive care?",Dirty hands contaminated the bras and made her sick.,"Breast abscess usually follows after mastitis, it is caused by a bacterial infection.",Continue breast feeding. Get a warm compress. Get a support bra for the breast. Get emotional support from family members and partner. Follow the treatment plan.
"A 31-year-old woman, 9 days post-abortion, presents with abdominal pain, fever, and foul-smelling vaginal discharge. She has been fixing herbs in her vaginal canal to make it tight again. She has been diagnosed with septic abortion and is receiving antibiotic therapy.",Management of sepsis following abortion,"Based on her symptoms and post-abortion status, how should the patient's septic abortion be managed, and what are the guidelines for antibiotic therapy and further management?",Fixing herbs in the vaginal canal makes it tight.,Herbs can easily be contaminated and are not easily regulated. Using them may have benefits in some cases but it is best to avoid using them.,Maintain good hygiene. Eat a balanced diet. Take plenty of fluids. Follow the treatment plan.
"A 28-year-old woman, 35 weeks pregnant, presents with painful, recurrent genital ulcers. She has a history of genital herpes. She was told that a person who has no symptoms in not infected. The midwife is considering antiviral therapy and the management of potential complications.",Genital ulcers,"How should the patient's condition be managed, and what are the guidelines for antiviral therapy and the management of potential complications in pregnancy?",A person with no signs and symptoms in not infected.,"Some people are asymptomatic carriers. And the infection can also be transmitted via saliva, genital secretions or sores.",Maintain a good hygiene. Do tests like CBC and other specific ones. Practice safe sex. Follow treatment plan. Get partner tested and treated concurrently.
"A 30-year-old woman, 31 weeks pregnant, presents with abdominal pain and contractions. She took herbs called oluzalo (local name) in order to have her baby. She has been diagnosed with preterm labor and is receiving treatment to delay labor and reduce the risk of complications.",Preterm (premature) labor,"Given her diagnosis, how should the patient's preterm labor be managed, and what steps have been taken to delay labor and reduce the risk of complications according to the guidelines?",Herbs help one become pregnant.,"Herbs are not regulated or scientifically test, and so there are many risks associated with them.",Get enough bedrest. Take plenty of fluids. Do an ultrasound scan. Foloow the treatment plan.
"A 29-year-old woman, 28 weeks pregnant, presents with a severe headache, blurred vision, and upper abdominal pain. Her blood pressure is significantly elevated, and she has proteinuria. People in her village have a theory that  precclampsia is a snake illness. The midwife suspects eclampsia and is considering antihypertensive medications and further management.",Management of hypertensive disorders in pregnancy,"Based on her symptoms and findings, how should the patient's suspected eclampsia be managed, and what are the guidelines for antihypertensive medications and further management in pregnancy?",Preeclampsia is a snake illness.,"Preeclampsia is caused by trophoblastic invasion from the placenta, vascular invasion, genetic predisposition, prior preeclampsia in previous pregnancies and sometimes the cause is notnormal. This has nothing to do with snakes.","Do an ultrasound scan. Do tests like CBC, urinalysis, RFTs and LFTs. Follow the treatment plan."
