Scenario,Keywords,Question,Guidelines Targeted,Postpartum Screening Questions (2-5),misinformation/ disinformation,Addressing misinformation,Midwifery Advice / Medical solution,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25
gabriela 24 year old woman trouble bond newborn often feel irritable impatient baby affect mood lango culture believe sex preffere,"Postpartum care, Bonding, Irritable, Impatient",What interventions would you suggest to help Gabriela improve her bonding with her newborn and manage her irritability? What postpartum care should she receive?,"Postpartum Care, Mental Health, Bonding with Newborn",Is this baby the sex you wanted? Is the father of the baby okay with the baby? How was your birth experience?, Believing that some sexes are preffered than others.,The sex of the baby is determined by the man's sperms and therefore  a woman should not be blamed for the sex of the baby by her husband.,"Advise Gabriela to join counselling sessions. Advise Gabriella to interact with other mothers who have gone through the same experience, as this will prove to her that it's not the end of life.",,,,,,,,,,,,,,,,,,
mia 26 year old woman experience severe back pain epidural anesthesia childbirth worried impact daily activity always hear pear say back pain permanent,"Postpartum care, Back pain, Epidural anesthesia, Daily activities",How would you assess and manage Mia's back pain in the postpartum period? What advice would you give her regarding postpartum care and daily activities?,"Postpartum Care, Back Pain, Health Assessment",Has the patient gone for a post partum follow up visit to the health centre.? Did the patient seek informationabout the exercabating and relieving factors of the pain? ,Believeing that the back pain is permanent.,Pain due to epidural anaesthesia usually disappears in few weeks. It is not permanent.,"In relation to her pain scale, she is advised to use of massage, physical exercises, cold and warm compress.  Pain medication would also be advised in server pain for relieving pain.",,,,,,,,,,,,,,,,,,
amelia 28 year old woman concerned hair loss give birth first child seek advice minimize hair loss improve hair health think hairloss permanent,"Postpartum care, Hair loss, First child, Hair health",How would you address Amelia's concerns about postpartum hair loss? What strategies would you recommend to support healthy hair in the postpartum period?,"Postpartum Care, Hair Loss, Health Education",Has the patient attended any follow up visit to the health centre? Did the patient ask right information to proove whether hairloss is permanent? ,Believing that the hairloss is permanent.,"The hair loss is not a permanent problem, it is just due to the falling in the level of a hormone called estrogen in the body afer birth.","Advise on proper nutrition, feed on protein foods such as meat and Vitamin rich foods such as Fresh fruits like oranges, mangoes.      The hair will be returned on its own.",,,,,,,,,,,,,,,,,,
lily 30 year old woman develop mastitis right breast two week give birth western region believedthat mastitis breast cancer experience pain concerned breastfeed,"Postpartum care, Mastitis, Breastfeeding, Pain",How would you approach the assessment and treatment of Lily's mastitis in the postpartum period? What recommendations would you provide for continued breastfeeding?,"Postpartum Care, Mastitis, Breastfeeding Support", Has the patient attended any post natal visits to seek advise from the health workers? Does the patient know about danger signs in the post partum period?,Believing that mastitis is breast cancer.,"No mastitis is the inflammation of the breast that results into breast swelling ad pain, but it's not a cancer."," Counsel and reassure the mother, then encourage breastfeeding on the unaffected breast. Then  demonstrate proper position and breast attachment Then place warm compress over the breast before breastfeeding to allow free flow of milk.  Then apply cold compress to affected breast after breastfeeding. 	 Give antibiotics ( oral flucloxacillin 
500mg 8 hourly for 5 days or ampiclox 
500 mg 6 hourly for 5 days, 
 Oral analgesia, ibuprofen 400mg 8 
hourly for 3 days or paracetamol 1gm 8 
hourly for 3 days. ). ",,,,,,,,,,,,,,,,,,
scarlett 31 year old woman struggle feeling isolation give birth live far family seek support connection believe situation unserious,"Postpartum care, Isolation, Support, Connection",How would you address Scarlett's feelings of isolation in the postpartum period? What resources and postpartum care services should she consider for support and connection?,"Postpartum Care, Mental Health, Support Services",Do you often communicate with your family? If yes how often and what means of communication do you use?,"Believing that this situation unserious, but it can lead to depressive symptoms if it lasts for long.",Isolation is a serious situation which needs to be addressed,It can be addressed through constant visits and calls with the family members.,,,,,,,,,,,,,,,,,,
chloe 25 year old woman concern possibility postpartum depression history depression want prevent affect postpartum experience tell fellow karamojong post partum depression common weak minded people,"Postpartum care, Postpartum depression, History of depression, Prevention","How would you approach Chloe's concerns about postpartum depression, given her history of depression? What preventive strategies would you recommend in her postpartum care?","Postpartum Care, Postpartum Depression, Mental Health",Does the Patient have enough sleep? Do you like the gender of the baby? ,Believeing that Post partum depression is common in weak minded people,"It's not only for the weak minded, but there is a significant contribution from the envirnmemtal factors.","Since decreased sleep is associated with postpartum depression, It's better to have enough sleep and exercise in order to curb depressive symptoms.",,,,,,,,,,,,,,,,,,
nora 29 year old woman develop stretch mark give birth self conscious appearance seek advice minimize culture assume stretch mark permanent body change,"Postpartum care, Stretch marks, Self-conscious, Appearance",How would you address Nora's concerns about stretch marks in the postpartum period? What recommendations would you provide for managing and reducing the appearance of stretch marks?,"Postpartum Care, Stretch Marks, Health Education",Has the patient had stretch marks before in previous pregnancies? Has the patient ever shared about this condition with health workers to seek right information about stretch marks?,Assuming that stretch marks are a permanent body change.,"No, stretch marks only appear as a sign of increased body weight which occured during pregnancy but they are not permanent.","Patiently wait, for the stretch marks to disappear on their own.  Apply topical gels with hyaluronic acid can also help.",,,,,,,,,,,,,,,,,,
emily 28 year old woman experience urinary tract infection utis give birth worried impact utis postpartum recovery believe utis permanent cure,"Postpartum care, Urinary tract infections, Postpartum recovery, Concerned",How would you approach the assessment and treatment of Emily's UTIs in the postpartum period? What postpartum care should she receive to prevent recurrent UTIs?,"Postpartum Care, Urinary Tract Infections, Health Assessment",Have you tested your partner also for UTI? Are u staying in a place where bathrooms are used communally?,Believeing that UTIs have no permanent cure.,UTIs have cure in case the patient adheres to medication and applies life style changes.,Test and treat partner. Adhere to medication. Maintaining proper sanitation.,,,,,,,,,,,,,,,,,,
emma 27 year old woman struggle night sweat give birth find challenge sleep seek advice manage night sweat tell night sweat harmful one health,"Postpartum care, Night sweats, Sleep, Management",How would you address Emma's concerns about night sweats in the postpartum period? What strategies would you recommend for managing night sweats and improving sleep?,"Postpartum Care, Night Sweats, Sleep Management",Does the patient know about danger signs in the post partum period? Have you taked to other post partum mothers who have shared the same experience.,Believing that night sweats are harmful to one's health.,Night sweats are not harmful to the mother's health because they are just a result of changing hormonal levels ,Sleeping on a towel to absorb the sweat.   Turn on air conditioner at night.          Taking less hot tea in the night.     Sleeping. Drinking cold water before sleep.,,,,,,,,,,,,,,,,,,
isabella 33 year old woman concern impact episiotomy scar sexual health experience pain discomfort intercourse belief episiotomy scar heal forever,"Postpartum care, Episiotomy scar, Sexual health, Pain, Discomfort",How would you approach Isabella's concerns about her episiotomy scar and sexual health? What recommendations would you provide for managing pain and discomfort during intercourse?,"Postpartum Care, Episiotomy Scar, Sexual",Have you had episiotomy in the earlier pregnancies? Do u have any friends who have suffered the same problem before?,Believing that episiotomy scars do not heal forever.,"No, episiotomy scars really do heal if treated well.",Some sexual positions should be avoided.    Taking regular warm sit baths. ,,,,,,,,,,,,,,,,,,
ava 35 year old woman recently give birth third child feel overwhelmed exhausted struggle manage responsibility yet society believe woman give birth suppose bear responsibility baby,"Postpartum care, Overwhelmed, Exhausted, Responsibilities",How would you approach Ava's feelings of being overwhelmed and exhausted in the postpartum period? What resources and postpartum care should she consider for support and stress management?,"Postpartum Care, Mental Health, Support Services",How were you handing the responsibilities in the previous pregnancies? Did u hire helpers? or u acquired help from relatives?,"Society has organised it in a way that, once a woman gives birth, she is supposed to bear all the responsibilities of the baby. Some believe that a busy woman heals faster.",Such post partum mothers are still going through healing process and need to be assisted to go through it.,Finding helpers and house maids can help. ,,,,,,,,,,,,,,,,,,
sofia 24 year old japadhola woman difficulty breastfeed newborn due invert nipple feel anxious seek support inlaw say invert nipple correct,"Postpartum care, Breastfeeding, Inverted nipples, Anxious",How would you address Sofia's concerns about breastfeeding with inverted nipples? What interventions and postpartum care can support her in successful breastfeeding?,"Postpartum Care, Breastfeeding Support, Inverted Nipples",Has the patient attended health education talks to seek quality information? .,"Believing that Inverted nipples can not be corrected, ",Inverted nipples can be managed and restored to normal.,Management includes use of Hoffman’s technique: This consists of a manual home exercise for drawing out the nipple.  Also use of sunctioning technique to pull ot the nipple.,,,,,,,,,,,,,,,,,,
lucy 28 year old woman experience heavy bleed two week give birth worried health seek guidance always think bleeding mere abnormal menstrual period,"Postpartum care, Heavy bleeding, Health, Guidance",How would you assess Lucy's heavy bleeding in the postpartum period? What recommendations would you provide for managing heavy bleeding and ensuring her health?,"Postpartum Care, Heavy Bleeding, Health Assessment","How many pads do u use in a day for such a bleeding? Are there any associated issues such as chills, fever, or lower abdominal pain?",Assuming that heavy bleeding is abnormal  menstrual periods,The descernment should be made bya clinician. The mother needs to go and see a health worker., Assess for any poorly repaired perineal tears. Perform an USS to rule out the cause of the bleeding. Manage as secondary Post Partum Heamorrhage.,,,,,,,,,,,,,,,,,,
grace 30 year old woman experience pelvic pain discomfort give birth struggle daily activity seek advice culture believe pelvic pain due broken bone shall never regain normal position,"Postpartum care, Pelvic pain, Discomfort, Daily activities",How would you approach the assessment and management of Grace's pelvic pain in the postpartum period? What postpartum care should she receive to improve her comfort and daily activities?,"Postpartum Care, Pelvic Pain, Health Assessment",Has the patient visited health workers to seek proffessional guidance? What are the pain relieving factors?," Believing that,the pelvic pain is due to broken bones that shall never regain normal position.","Pelvic pain is not necessaliry due to broken bones, rather a contribution of different factors such as muscle stretches among others.",Pelvic exercises to relieve pain.  Prescribe analgesic medications.,,,,,,,,,,,,,,,,,,
ella 27 year old woman feel stress care newborn manage career struggle time management seek support culture believe hardwork perseverence make post partum woman hard make healing fast,"Postpartum care, Stress, Newborn care, Career, Time management",How would you address Ella's concerns about stress and time management in the postpartum period? What resources and postpartum care should she consider for support and stress management?,"Postpartum Care, Mental Health, Support Services",Has the patient ever shared about this condition with health workers to seek proffessional guidance? What are the pain relieving factors learnt?,Believing that hardwork and perseverence makes them harder and makes their healing faster,"Where as hardwork is good, postpartum period is a progressive healing  process.",Employ a house maid to help with the house work. Seeking advise from other mothers in the community.,,,,,,,,,,,,,,,,,,
harper 32 year old woman notice swell leg give birth concerned impact mobility seek advice believe swelling leg due infection,"Postpartum care, Leg swelling, Mobility, Concerned",How would you assess and manage Harper's leg swelling in the postpartum period? What postpartum care should she receive to improve her mobility and reduce swelling?,"Postpartum Care, Leg Swelling, Health Assessment",On which part of the legs does the swelling end? Does it pain? How long has it lasted?,Believing that the swelling of the legs is due to an infection.,The retention of water after birth is a physiological process and not pathological. It is due to progesterone hormone.,Always have a stool to raise her legs while sitted.     It resolves in a few weeks.,,,,,,,,,,,,,,,,,,
olivia 26 year old woman experience intense mood swing irritability give birth worried impact relationship seek guidance believe fault mood swing,"Postpartum care, Mood swings, Irritability, Relationships",How would you approach Olivia's concerns about mood swings and irritability in the postpartum period? What postpartum care should she consider for managing her emotions and improving her relationships?,"Postpartum Care, Mood Swings, Mental Health", Have you been experiencing the same feelings for the previous pregnancies?,"Believing that, it's the mother's fault that she is having mood swings. ","Mood swings, attimes called baby blues happen due to hormonal imbalances following child birth forexample a decline in thyroid hormones and it's never the mother's fault.",Counselling and guidance sessions.,,,,,,,,,,,,,,,,,,
madison 29 year old woman struggle low libido give birth concerned impact relationship partner seek advice believe low libido blame trauma birth process,"Postpartum care, Low libido, Relationship, Concerned",How would you address Madison's concerns about low libido in the postpartum period? What recommendations would you provide for managing low libido and supporting her relationship?,"Postpartum Care, Low Libido, Relationship Support",How was the libido or sex drive before birth?,Believing that Low libido is  to be blamed on the trauma in the birth process,Low libido after birth is due to deprivation of sleep. It is also due to fatique.Low libido is assumed to be due to the birth trauma ,Wait for the baby to grow. ,,,,,,,,,,,,,,,,,,
luna 25 year old woman feel anxious weight gain pregnancy believe weight gain result un control eat seek advice lose weight improve body image,"Postpartum care, Weight gain, Weight loss, Body image",How would you approach Luna's concerns about weight gain and body image in the postpartum period? What postpartum care should she consider for weight loss and improving her body image?,"Postpartum Care, Weight Management, Body Image", What is your previous weight? What is your height? What is your BMI?,Believing that weight gain is as a result of un controlled eating.,The weight gain in pregnancy is physiological and not to be blamed on the eating habits of the mother., Do regular physical exercises.,,,,,,,,,,,,,,,,,,
sophia 31 year old woman experience urinary incontinence give birth culture believe condition cure worried impact daily life seek guidance,"Postpartum care, Urinary incontinence, Daily life, Guidance",How would you approach the assessment and management of Sophia's urinary incontinence in the postpartum period? What postpartum care should she receive to improve her daily life and reduce incontinence?,"Postpartum Care, Urinary Incontinence, Health Assessment",Has the patient attended any follow up visit to the health centre? Did the patient seek information concerning management of the incontinence?,It's believed that this condition has no cure,Urinary incontinence has cure and it can be corrected by a urologist.,Perform Kegel exercises. Plus wearing absorbent pads,,,,,,,,,,,,,,,,,,
ava 25 year old woman suffer severe constipation hemorrhoid give birth first child seek relief symptom,"Postpartum care, Constipation, Hemorrhoids, First child",What recommendations would you provide to Ava for managing constipation and hemorrhoids in the postpartum period? What postpartum care should she receive?,"Postpartum Care, Hemorrhoids, Constipation",Have you suffered haemorrhois before? Are there any specific foods that woren your pain when eaten?,Believing that haemorrhoids are masses in the colon ,"Haemorrhoids are extended blood vessels, that prorude into the rectum",Increase water in take.  Implementing sit baths.,,,,,,,,,,,,,,,,,,
natasha 33 year old woman give birth second child via cesarean section due transverse lie experience intermittent fever wound pain heavy vaginal bleeding since return home,"Postpartum care, Cesarean section, Transverse lie, Fever, Wound pain, Vaginal bleeding","What would be your approach to assessing Natasha's symptoms post-cesarean section? What postpartum care and interventions would you recommend to manage her fever, wound pain, and heavy bleeding?","Postpartum Care, Wound Care, Fever Management, Postpartum Hemorrhage",Has the patient visited the health facility for health and education sessions to learn about associated symptoms and signs of post cesarean complications?,Some people may believe that the mother mismanaged the wound after discharge.,Surgical site infection can arise due to many factors including micro-organisms which might have entered the wound during surgery,Administer anti pyretics like paracetamol to curb the fever. Doing a complete Blood count to rule out bacteria infection.,,,,,,,,,,,,,,,,,,
emily 36 year old woman recently give birth twin one baby neonatal icu due respiratory distress emily struggle anxiety difficulty sleep also experience painful urination low abdominal pain,"Postpartum care, Twins, Neonatal ICU, Anxiety, Insomnia, Painful urination, Abdominal pain","How would you assess Emily's physical and emotional well-being postpartum, considering her twins and one in the NICU? What postpartum care would you provide for her anxiety, sleep issues, and physical discomfort?","Postpartum Care, Mental Health, Insomnia Management, UTI Management, Emotional Support",What is your recent blood pressure measurement?   Have you taken any measures to overcome the insomina?,Some peope believe that the mother is just too attached to the baby.,It's the mother-baby relationship and bond that has created this attachment,Taking short naps can help.  Joining the counselling and guidance sessions.,,,,,,,,,,,,,,,,,,
mia 28 year old woman give birth first child three week ago feel overwhelmed responsibility motherhood notice increase hair loss mia history polycystic ovary syndrome pco concerned hair loss,"Postpartum care, Overwhelmed, Hair loss, PCOS","How would you approach Mia's concerns about hair loss in the postpartum period, considering her PCOS history? What postpartum care and interventions would you recommend to address her hair loss and feelings of overwhelm?","Postpartum Care, Hair Loss, Emotional Support, PCOS Management",Do you recieve any help from the family members? Are they willing to help? Have you taken any measures to discuss your issues with a team of counsellors?,Some mothers believe that hair loss is an abnormal condition.,"Hair loss postpartum, though stressful, is a completely normal symptom of your changing hormones after birth.","Make time for regular gentle or moderate exercise, which can also help reduce stress. Ask for friends and loved ones for help taking care of the baby or even household chores.",,,,,,,,,,,,,,,,,,
ava 25 year old woman suffer severe constipation hemorrhoid give birth first child seek relief symptom believe haemorrhoid masse colon,"Postpartum care, Constipation, Hemorrhoids, First child",What recommendations would you provide to Ava for managing constipation and hemorrhoids in the postpartum period? What postpartum care should she receive?,"Postpartum Care, Hemorrhoids, Constipation",Have you suffered haemorrhois before? Are there any specific foods that woren your pain when eaten?,Mistaking haemorrhoids to be masses in the colon ,"Haemorrhoids are extended blood vessels, that prorude into the rectum",Increasing water in take.  Implementing sit baths.,,,,,,,,,,,,,,,,,,
abigail 37 year old woman give birth third child complicated labor require blood transfusion currently experience fatigue dizziness shortness breath also believe blood transfusion harmful medical management procedure lower patient immunity,"Postpartum care, Complicated labor, Blood transfusion, Fatigue, Dizziness, Shortness of breath","What would be your approach to assessing Abigail's symptoms postpartum after a complicated labor and blood transfusion? What postpartum care and interventions would you recommend to manage her fatigue, dizziness, and shortness of breath?","Postpartum Care, Fatigue Management, Blood Transfusion Follow-up, Respiratory Assessment",Are there any symptoms such as head ache? Do you have any difficulties in breathing?,Believing that blood transfusion is a harmful medical management procedure as it lowers the patient's immunity.,Blood transfusion is not harmful in anyway to the patient and it doesn't lower the patient's immunity. It rather helps in boasting the patient's blood volume.,Eating healthy foods so she can have more energy . Learn exercises to tone her  belly. Also try Kegel exercises to regain strength in pelvic muscles.,,,,,,,,,,,,,,,,,,
isabella 31 year old woman deliver baby vacuum assist vaginal delivery due prolong labor experience severe perineal pain discomfort bowel movement believe perineal pain permanent keep occur matter management,"Postpartum care, Vacuum-assisted delivery, Prolonged labor, Perineal pain, Bowel movements","How would you assess and manage Isabella's perineal pain and discomfort postpartum, especially during bowel movements, following a vacuum-assisted delivery? What postpartum care would you provide for her perineal healing and comfort?","Postpartum Care, Perineal Care, Bowel Movement Comfort, Vacuum-Assisted Delivery Follow-up","What is the amount of lochia?  Are there any signs of trauma in the perineal regions.(hematomas, tears, or lacerations)."," Believing that perineal pain is permanent, and it will keep re -occurring no matter the management.",Perineal pain can be managed and it heals completely.," Wear breathable materials, like cotton and disposable briefs, and avoid tight clothing. ",,,,,,,,,,,,,,,,,,
charlotte 34 year old woman give birth large baby shoulder dystocia currently experience pelvic pain incontinence concerned recovery believe abnormal birth punishment god,"Postpartum care, Large baby, Shoulder dystocia, Pelvic pain, Incontinence",How would you assess and manage Charlotte's pelvic pain and incontinence postpartum after giving birth to a large baby with shoulder dystocia? What postpartum care and interventions would you recommend for her pelvic health and incontinence concerns?,"Postpartum Care, Pelvic Pain, Incontinence, Shoulder Dystocia Follow-up",Are there any bowel sounds? Do you have any other associated symptoms? Have you resumed sex?,Believing that such births are God's punishments.,Abnormal births occcur randomly but are not God's punishments.,"Start daily exercise after 4 to 6 weeks, but rest when tired.",,,,,,,,,,,,,,,,,,
scarlett 29 year old woman feel anxious health premature baby currently nicu also struggle breastfeed baby unable latch properly also believe premature baby never normal,"Postpartum care, Premature baby, NICU, Anxiety, Breastfeeding, Latching issues",How would you approach Scarlett's concerns about her premature baby's health and breastfeeding difficulties in the postpartum period? What postpartum care and support would you provide to address her anxiety and breastfeeding challenges?,"Postpartum Care, Premature Baby Care, Breastfeeding Support, Mental Health",Can you demostrate  how you attach the baby to your breasts?  What is the nature of yor nipples? Are they inverted or not?,Believing that premature babies will never be normal again,Premature babies can leave NICU and grow as normal babies with time., Visit health worker to train proper baby positioning during breast feeding.,,,,,,,,,,,,,,,,,,
aria 32 year old woman experience difficulty bond newborn due feeling sadness tearfulness concerned ability care baby believe post partum bonding impossible baby,"Postpartum care, Bonding, Sadness, Tearfulness, Newborn care",How would you assess Aria's emotional well-being postpartum and her concerns about bonding with her newborn? What postpartum care and interventions would you recommend to address her feelings of sadness and improve her bond with her baby?,"Postpartum Care, Bonding, Emotional Support, Mental Health",Has the patient been connected to counselling and guidance units at the health facility?  Has the patient ever shared about this condition with friends or health workers to seek proffessional guidance?,Believing that post partum bonding is impossible in some babies.,Bonding between mother and child is natural and it's possible,Join counselling and guidance session. Also read journals about great mother -child care.,,,,,,,,,,,,,,,,,,
