Scenario,Keywords,Question,Guidelines Targeted,Health screening Questions (2-5),Misinformation or Myths,Misinformation counteraction/ clarity,Midwifery / Medical solution ( advice)
vivian 32 year old pregnant woman recently travel malaria endemic area work third trimester feel tired fever vivian concerned may contract malaria trip vivian also think might feel tired becuase baby play stomach quite hestant go treatment,"Malaria, Travel, Third trimester, Fever, Fatigue","Given Vivian's recent travel to a malaria-endemic area and her symptoms, how would you assess her condition and manage her suspected malaria during her third trimester?","Management of Malaria in Pregnancy, Antenatal Care, Health Supplies",Do you attend ANC? Which measures do you employ to to fight against malaria? ,Baby's movements tire the mother.,The mother can feel the baby kick but this doesnot directly physically exhaust the mother.,Attend ANC regularly.Take antimalarials for prophylaxis. Complete the dose as prescribed from a recognised health facility.
abigail 23 year old pregnant woman live region high rate malaria transmission use insect repellent wear long sleeve prevent mosquito bite like use mosquito net say affect breathing however abigail concerned may still contract malaria,"Malaria, Insect repellent, Mosquito bites, Prevention, Concern",How would you address Abigail's concerns and assess her risk of contracting malaria given her preventive measures? What additional recommendations would you provide to reduce her risk of infection?,"Management of Malaria in Pregnancy, Antenatal Care, Community Participation in Reproductive Health Programs",Have you been monitoring your baby's movements? Are you aware of the health programs available? Which measures are you employing to fight against malaria?,Mosquito nets make breathing hard.,"Mosquito nets are enfused with chemical that kills mosquitoes, it affects some people but it can be hunged under a shade snd it becomes for favorable.",Communicate with the village health team yo learn about the different health programs. Attend ANC regularly. Get treatment against malaria and adhere to the treatment.
rachel 36 year old pregnant woman live rural area healthcare facility limited experience symptom malaria fever chill fatigue rachel concerned availability treatment impact malaria unborn child rachel like take manufacture drug pregnant think dangerous unborn baby,"Malaria, Rural area, Fever, Chills, Fatigue, antimalarials","Given Rachel's symptoms, location, and concerns, how would you assess her condition and provide recommendations for managing her suspected malaria, considering the limited healthcare facilities?","Management of Malaria in Pregnancy, Antenatal Care, Referral",Do you have knowledge on proper medicine rule? Which measures are you employing to fight malaria? Do you attend ANC?,Manufactured drugs are dangerous to the unborn child.,Not all medicines are safe during pregnancy but the ones prescribed as antimalarials are safe even for the baby.,Take medicine as prescribed from a recognised health facility. Eat a balanced diet. Attend ANC regularly.
monica 28 year old pregnant woman first trimester diagnose malaria worried potential effect antimalarial drug unborn child tell make baby complication like hole heart monica want understand risk benefit treatment,"Malaria, First trimester, Antimalarial drugs, Risks, Benefits",How would you address Monica's concerns about antimalarial drugs during her first trimester and explain the risks and benefits of treatment for her and her unborn child?,"Management of Malaria in Pregnancy, Antenatal Care, Health Supplies",Do you have knowledge on proper medicine rule? Which measures are you employing to fight malaria? Do you attend ANC?,Antimalarials make the baby to have complications.,Some antimalarial drugs  have tiatrogenic effects but the ones prescribed for the mothers are safe.,Attend ANC regularly. Employ maesures to fight malaria. Develop a birth delivery plan.
lisa 33 year old pregnant woman second trimester diagnose severe malaria experience high fever anemia difficulty breathe lisa concern though tell one get pregnant stand wonder become pregnant lisa seek urgent medical assistance,"Malaria, Second trimester, Severe malaria, Fever, Anemia","What immediate steps would you take to manage Lisa's severe malaria, considering her symptoms and stage of pregnancy? How would you monitor her condition and the health of her unborn child?","Management of Malaria in Pregnancy, Anaemia in Pregnancy, Intrapartum Care",Do you know how to recognise the signs of malaria? Do you attend ANC? Have you taken any painkillers?,One cannot become pregnant while standing.,Standing has no effect on pregnancy as long fertilisation occurs.,Attend ANC regularly. Take medication as prescribed. Protect yourself against malaria using various measures.
emma 30 year old pregnant woman third trimester test positive malaria experience recurrent vomiting concerned impact malaria unborn child think baby also go suffer malaria inside stomach emma want know good treatment option,"Malaria, Third trimester, Vomiting, Impact, Treatment options",How would you manage Emma's malaria given her symptoms and stage of pregnancy? What treatment options would you recommend to ensure the health of her unborn child?,"Management of Malaria in Pregnancy, Hyperemesis Gravidarum, Health Supplies",Have you eaten anything that may have upset your stomach? Do you have any other immune-compromising illnes? Do attend ANC? ,An unborn child doesnot suffer from malaria directly.,Malaria affects the placenta and also attacks the red blood cells of the mother and this affects the unborn child.,Attend ANC reguarly. Take antimalarials as prescribed. 
natalie 25 year old pregnant woman second trimester live high risk malaria zone use mosquito net take prophylactic antimalarial drug believe ultimate way fight malaria continue get malaria however natalie recently develop fever concerned risk malaria,"Malaria, Second trimester, Mosquito net, Prophylactic drugs, Fever",How would you evaluate Natalie's risk of malaria given her preventive measures and current symptoms? What steps would you take to ensure her health and the safety of her unborn child?,"Management of Malaria in Pregnancy, Antenatal Care, Health Supplies",How do you use your mosquito net? How often do you use the mosquito repellant? Do you attend ANC?,A mosquito net and antimalarial prophylacsis is sufficient to fight against laria.,These reduce the chances of getting malaria but they are not ultimate.,Attend ANC regularly. Take antimalarials as prescribed. Learn the proper mosquito net use.
lauren 27 year old pregnant woman experience fatigue headache joint pain concern symptom may relate malaria live region disease common believe though people believe god donot become sick sick prayer alone work fine lauren want know protect malaria pregnancy,"Malaria, Fatigue, Headaches, Joint pain, Protection",How would you assess Lauren's symptoms and risk of malaria given her location and concerns? What recommendations would you provide for managing her symptoms and preventing future infections?,"Management of Malaria in Pregnancy, Antenatal Care, Community Participation in Reproductive Health Programs",Do you attend ANC? Which measures do you employ to to fight against malaria? ,People who believe in God do not become sick.,"God protects us from harm but He does this through various ways, healing from an illness after getting treatment is also willed by God.",Attend ANC regularly. Employ maesures to fight malaria. Develop a birth delivery plan.
andrea 34 year old pregnant woman live region high rate malaria region people believe hot people donot suffer malaria history recurrent malaria infection worried impact malaria pregnancy andrea want advice prevent future infection,"Malaria, Recurrent infections, Impact, Prevention, History",How would you assess Andrea's risk of malaria given her history and location? What preventive measures would you recommend to minimize her risk of future infections during her pregnancy?,"Management of Malaria in Pregnancy, Antenatal Care, Community Participation in Reproductive Health Programs",How do you use your mosquito net? How often do you use the mosquito repellant? Do you attend ANC?,"When it is hot, people do not suffer from malaria.","when it is hot, the rate of malaria spread is low but it also spreads so people can still suffer from it.",Attend ANC regularly. Employ measures to fight against malaria. Attend village health team health education talks.
rebecca 29 year old pregnant woman third trimester live malaria endemic area shower number herb say protect danger intermittent fever headache past week rebecca concerned potential impact malaria unborn child,"Malaria, Third trimester, Fever, Headaches, Malaria-endemic area","Given Rebecca's symptoms, stage of pregnancy, and location, how would you assess her condition and manage her suspected malaria? What information would you provide to address her concerns about the impact on her unborn child?","Management of Malaria in Pregnancy, Antenatal Care, Intrapartum Care",Do you attend ANC? Which measures do you employ to to fight against malaria? ,Showering herbs protects from harm like diseases.,"Harm occurs in  a number of ways and when it comes to malaria, an insect bite does the trick.",Attend ANC regularly. Take antimalarials as prescribed. Learn the proper mosquito net use.
janet 26 year old pregnant woman first trimester experience flu like symptom concerned health janet live area high incidence malaria unsure protect un bear child janet prayer warrior church believe doesnot need medication heal,"Malaria, First trimester, Flu-like symptoms, Protection, High incidence",What preventive measures would you recommend to Janet to minimize her risk of contracting malaria? How would you evaluate her flu-like symptoms and consider the possibility of malaria given her location and stage of pregnancy?,"Management of Malaria in Pregnancy, Antenatal Care, Health Supplies",Which measures do you employ to fight malaria? How much knowledge do you have on malaria? Do you attend ANC?,Prayers are enough to heal.,"God protects us from harm but He does this through various ways, healing from an illness after getting treatment is also willed by God.",Employ measures to fight against malaria. Attend ANC and take the antimalarials regularly. Get treatment and adhere to it.
karen 35 year old pregnant woman third trimester history severe malaria previous pregnancy concerned risk complication current pregnancy seek advice malaria prevention say malaria kill unborn baby,"Malaria, Third trimester, Severe malaria, Previous pregnancies, Complications",How would you assess Karen's risk of malaria given her history of severe infections during previous pregnancies? What preventive measures would you recommend to reduce her risk of complications related to malaria?,"Management of Malaria in Pregnancy, Antenatal Care, Community Participation in Reproductive Health Programs",Do you attend ANC? Which measures do you employ to to fight against malaria? ,Malaria kills an unborn baby.,"Malaria complicates a pregnancy and it can lead intrautero-fetal death. But if managed adequately and timely, everything turns out just fine.",Attend ANC regularly. Adopt measures to fight against malaria. Eat foods rich in iron and folic acids like vegetables. Take antimalarials as prescribed.
alice 22 year old pregnant woman experience high fever headache muscle pain first take local herb include ginger try cure condition fail diagnose malaria worried potential impact unborn child alice seek information treatment option safety antimalarial drug pregnancy,"Malaria, Fever, Headache, Muscle pain, Treatment options, Safety",What treatment options would you recommend to Alice for managing her malaria during pregnancy? How would you address her concerns about the safety of antimalarial drugs and their potential impact on her unborn child?,"Management of Malaria in Pregnancy, Antenatal Care, Health Supplies",Do you attend ANC? Which measures do you employ to to fight against malaria? Do you attend health education talks?,Local herbs like ginger cure malaria.,Ginger is a good spice rich in a number of minerals but it does not cure malaria.,Attend ANC regularly. Adopt measures to fight against malaria. Eat foods rich in iron and folic acids like vegetables. Take antimalarials as prescribed. Attend health education talks for relaible information.
naomi 31 year old pregnant woman second trimester live region high malaria transmission use insect repellent sleep mosquito net belive though mosquito net protect insect bite malaria naomi concerned risk malaria despite take preventive measure,"Malaria, Second trimester, Insect repellent, Mosquito net, Risk",How would you assess Naomi's risk of malaria given her preventive measures and location? What additional recommendations would you provide to further reduce her risk of infection during her second trimester?,"Management of Malaria in Pregnancy, Antenatal Care, Community Participation in Reproductive Health Programs",Which measures do you employ to fight malaria? How much knowledge do you have on malaria? Do you attend ANC?,Mosqquito nets protect from mosquito bites but not malaria.,"Malaria is caused and spread via a mosquito bite so if these are avoided, then insesantly, malaria is also prevented.",Adopt measures for protection against malaria. Attend health education talks. Attend ANC regularly. Take antimalarials as prescribed.
victoria 28 year old pregnant woman diagnose severe malaria doesnot attend anc unless complication pregnancy third trimester experience symptom high fever jaundice difficulty breathe victoria concerned health impact severe malaria unborn child,"Malaria, Third trimester, Severe malaria, Fever, Jaundice",How would you manage Victoria's severe malaria given her symptoms and stage of pregnancy? What steps would you take to ensure the health of her unborn child and monitor her condition throughout her third trimester?,"Management of Malaria in Pregnancy, Intrapartum Care, Health Supplies",How often do you add vegetables to your diet? Do you attend health education talks? Do you have a birth readiness plan?,No need for ANC unless there is a problem with the pregnancy.,"Through ANC, a number of complications can be identified early and managed timely, it is therefore important for a woman to attend ANC as soon as she becomes pregnant.",Add vegetables to the diet everyday. Attend health education talks for reliable imformation. Make a plan for delivery to increase the chances of good outcomes.
sarah 29 year old pregnant woman experience fever chill sweat live region malaria endemic wear charm around waist claim protect unborn child disease concerned potential impact malaria pregnancy sarah seek information risk benefit antimalarial drug,"Malaria, Fever, Chills, Sweating, Risks, Benefits",How would you evaluate Sarah's symptoms and assess her risk of malaria given her location and concerns? What information would you provide on the risks and benefits of antimalarial drugs during pregnancy?,"Management of Malaria in Pregnancy, Antenatal Care, Health Supplies",Which measures do you employ to fight malaria? How much knowledge do you have on malaria? Do you attend ANC?,Charms protect the mother and her baby from any harm.,"Unless there is a way that charms keep the mosquitoes from biting an individual, they do not protect against malaria. It is therefore importants to actively prevent it.",Adopt measures for protection against malaria. Attend health education talks. Attend ANC regularly. Take antimalarials as prescribed.
jessica 27 year old pregnant woman second trimester history malaria keep pregnancy secret diclose loose baby even sick due cultural belief worried impact malaria unborn child want know protect future infection,"Malaria, Second trimester, History, Impact, Protection","Given Jessica's history of malaria, how would you assess her risk of future infections during her second trimester? What recommendations would you provide to minimize her risk of malaria and ensure the health of her unborn child?","Management of Malaria in Pregnancy, Antenatal Care, Community Participation in Reproductive Health Programs",Which measures do you employ to fight malaria? How much knowledge do you have on malaria? Do you attend ANC? How often do you add vegetables to your diet?,"If a pregnancy is disclosed, one looses their baby.",Different things can complicate a pregnancy and lead to a miscarriage or abortion.,Attend ANC regularly. Adopt measures for protection against malaria. Add vegetables to the diet everyday.
ashley 24 year old pregnant woman first trimester diagnose malaria ashley believer tradititon say apease god become unwell fear god happy seek kill un bear child experience symptom fatigue headache abdominal pain ashley seek advice manage condition ensure healthy pregnancy,"Malaria, First trimester, Fatigue, Headaches, Abdominal pain","How would you manage Ashley's malaria during her first trimester, considering her symptoms? What steps would you recommend to monitor her condition and ensure the health of her unborn child throughout her pregnancy?",Management,Do you attend ANC? Which measures do you employ to fight against malaria?,Appeasing the gods protects from all evil.,Malaria is caused by a bite from an infected female anophlese mosquito and so its not caused by witchcraft.,Attend ANC regularly. Adopt measures to fight malaria. Attend health education talks for more knowledge.
nan,,,,,,,
emily 17 year old pregnant teenager first trimester diagnose malaria culture pregnant woman must sleep different man order ensure baby come strong experience nausea vomiting fatigue emily worried potential impact malaria unborn child,"Malaria, First trimester, Teenager, Nausea, Vomiting, Fatigue",How would you manage Emily's malaria considering her age and stage of pregnancy? What recommendations would you provide to ensure her health and the well-being of her unborn child?,"Management of Malaria in Pregnancy, Antenatal Care, Health Supplies",Which measures do oyu employ to fight against malaria? Do you attend ANC?,Sleeping with different men while pregnant makes the baby come out strong.,Sleeping with different men exposes one to different infections which is hazardous to one's life.,Adopt measures for protection against malaria. Attend ANC regularly.
sarah 20 year old pregnant woman victim rape second trimester diagnose malaria deal trauma incident concerned health health unborn child sarah also viste traditional healer conconction order child look like father conction also protect illness,"Malaria, Second trimester, Rape, Trauma, Concern",How would you support Sarah in managing her malaria while addressing her traumatic experience and concerns? What recommendations would you provide to ensure her health and the health of her unborn child?,"Management of Malaria in Pregnancy, Antenatal Care, Post-abortion Counseling",Are you part of a social support group? Do you attend ANC? Which measuresdo you employ to fight malaria?,Concoctions can alter the appearance of an unborn baby.,"Appearance of an unborn baby is genetically determined, this can not be altered by concoctions.",Join a social support group to help heal from the trauma. Attend ANC regularly. Adopt measures for protection against malaria.
lily 16 year old pregnant teenager third trimester live region high malaria transmission tell grandmother need use fir cat private part order quicken delivery process experience high fever muscle pain lily life rural area limited access healthcare facility,"Malaria, Third trimester, Teenager, Fever, Muscle pain, Rural area","How would you assess and manage Lily's risk of malaria given her age, symptoms, and location? What recommendations would you provide to ensure her health and the health of her unborn child, considering the limited access to healthcare?","Management of Malaria in Pregnancy, Antenatal Care, Community Participation in Reproductive Health Programs",Do you attend ANC? Do you attend health education talks? Do you eat a balanced diet? Which measures do you employ to fight against malaria?,Cat fur quickens delivery.,there is no scientific proof of this and so it should be used with caution.,Attend ANC regularly. Attend hrealth education talks. Eat a balanced diet for a ahealthy body. Adopt measures to fight against malaria.
sophie 15 year old girl early marriage second trimester diagnose malaria take herb like imbiza local name order make body strong experience symptom fatigue headache abdominal pain sophie seek advice manage condition ensure healthy pregnancy,"Malaria, Second trimester, Early marriage, Fatigue, Headaches, Abdominal pain",How would you manage Sophie's malaria considering her age and stage of pregnancy? What steps would you recommend to monitor her condition and ensure the health of her unborn child throughout her pregnancy?,"Management of Malaria in Pregnancy, Antenatal Care, Health Supplies",Do you attend ANC? Which measures do you employ ot fight malaria?,Local herbs like imbiza make the body strong.,"A healthy diet, a healthy mind and medication when ill makes the body strong, local herbs can have an unknown side effects as they are not regulated.",Attend ANC regularly. Eat a balanced diet. Adopt measures to fight against malaria.
chloe 19 year old pregnant woman live slum area first trimester diagnose malaria experience severe vomiting unable keep food chloe tell neighbour vomiting unborn child doesnot want grow belly chloe concerned health impact malaria pregnancy,"Malaria, First trimester, Slum area, Vomiting, Concern",How would you manage Chloe's malaria given her symptoms and living conditions? What recommendations would you provide to ensure her health and the well-being of her unborn child?,"Management of Malaria in Pregnancy, Antenatal Care, Hyperemesis Gravidarum",Do you attend ANC? Do you eat a balanced diet? Which measures do you employ to fight against malaria?,Over vomiting shows that the baby does not want to grow in one's womb.,"Over vomiting also called hyperemesis gravidarum, is  a complication in pregnanacy but it can be managed and the pregnancy pregresses normally.",Attend ANC regularly. Eat a balanced diet. Adopt measures to fight against malaria.
amanda 18 year old pregnant teenager third trimester diagnose severe malaria amanda get 3 day ritual order unborn child bless ancestor give birth experience symptom high fever jaundice difficulty breathe amanda concerned health impact severe malaria unborn child,"Malaria, Third trimester, Teenager, Severe malaria, Fever, Jaundice",How would you manage Amanda's severe malaria given her symptoms and stage of pregnancy? What steps would you take to ensure the health of her unborn child and monitor her condition throughout her third trimester?,"Management of Malaria in Pregnancy, Intrapartum Care, Health Supplies",Which measures do you employ to fight against malaria? Do you attend ANC? Do you have a birth delivery plan?,Perform rituals in order to have a healthy a healthy baby.,"A healthy baby also depends on how a mother takes care of herself, so even if rituals are performed and self care is lacking, the baby can get complications.",Adopt measures to fight malaria. Attend ANC regularly. Take antimalarials as prescribed.
mia 16 year old pregnant girl early marriage second trimester diagnose malaria mia grow family mosquito net use fishing never consider means protection malaria deal stress early marriage worried potential impact malaria pregnancy,"Malaria, Second trimester, Early marriage, Stress, Worried",How would you support Mia in managing her malaria while addressing her stress and worries? What recommendations would you provide to ensure her health and the health of her unborn child?,"Management of Malaria in Pregnancy, Antenatal Care, Post-abortion Counseling",Are you part of  a social support group? Which measures do you employ to fight malaria? Do you attend ANC?,Mosquito nets are for fishing.,Proper use of mosquito nets are a crutial means to fight malaria and so should be used right.,Attend health education talks. Attend ANC regularly. Take antimalarials as prescribed.
zoe 14 year old pregnant teenager first trimester diagnose malaria stay grandmother supposedly help pelvis grow fast preparation child birth say take number herb concoction experience fatigue headache abdominal pain zoe seek advice manage condition ensure healthy pregnancy,"Malaria, First trimester, Teenager, Fatigue, Headaches, Abdominal pain",How would you manage Zoe's malaria considering her age and stage of pregnancy? What steps would you recommend to monitor her condition and ensure the health of her unborn child throughout her pregnancy?,"Management of Malaria in Pregnancy, Antenatal Care, Health Supplies",Do you attend ANC? Do you attend health education talks? Which measures do you employ to fight malaria?,Herbs and concoctions make the pelvis ready for delivery.,"Herbs and concoctions are not regulated, they can be harmful. Hormones can stimulate the growth of the pelvis.",Attend ANC regularly. Adopt measures to fight against malaria. Attend health education talks.
nicole 17 year old pregnant girl live refugee camp second trimester diagnose malaria doesnot accept stranger touch stomach may bring bad oman unborn child doesnot attend anc experience high fever muscle pain nicole concerned risk malaria impact unborn child,"Malaria, Second trimester, Refugee camp, Fever, Muscle pain, Concern",How would you assess and manage Nicole's risk of malaria given her symptoms and living conditions? What recommendations would you provide to ensure her health and the health of her unborn child?,"Management of Malaria in Pregnancy, Antenatal Care, Community Participation in Reproductive Health Programs",Do you attend ANC? Do you attend health education talks?,"When a stranger touches your stomach when preganant, it causes bad omen.","A pregnancy can be complicated by a number of reasons, these should be checked before blaming a stranger's touch.",Attend ANC regularly and health education talks for reliable information.
emma 18 year old pregnant teenager third trimester diagnose severe malaria always tell stay indoor avoid social gathering eat food like pineapple negatively affect unborn child experience symptom high fever jaundice difficulty breathe emma concerned health impact severe malaria unborn child,"Malaria, Third trimester, Teenager, Severe",How would you manage Emma,"Management of malaria in pregnancy, Antenatal Care ",Do you attend ANC? Which measures do you employ to fight against malaria?,A pregnant woman should be isolated for maximum health.,"Social interactions restores the mind, and so should br encouraged.",Attend ANC regularly. Adopt mesaures to fight malaria.
maria 15 year old pregnant teenager second trimester diagnose malaria claim gift accept frind bring tragedy become sick concerned health impact malaria unborn child maria live region high poverty rate limited access healthcare service,"Malaria, Second trimester, Teenager, Poverty, Limited healthcare","How would you manage Maria's malaria considering her age, socio-economic situation, and stage of pregnancy? What steps would you recommend to ensure her health and that of her unborn child?","Management of Malaria in Pregnancy, Antenatal Care, Health Supplies",Are you part of a social support group? Do you attend ANC? Which measuresdo you employ to fight malaria?,Accepting gifts when preganant causes tragedy to the mother.,Gifts have nothing to do with health.,Attend ANC regularly. Adopt measres ti fght against malaria. Join a social support group.
hannah 18 year old pregnant woman survivor human trafficking diagnose malaria say sick far awayfrom home area fine go back third trimester experience symptom high fever jaundice difficulty breathe hannah concerned health impact severe malaria unborn child,"Malaria, Third trimester, Human trafficking, Fever, Jaundice",How would you support Hannah in managing her severe malaria while addressing her traumatic experience? What steps would you take to ensure the health of her unborn child and monitor her condition throughout her third trimester?,"Management of Malaria in Pregnancy, Intrapartum Care, Post-abortion Counseling",Do you have a birth readiness plan? Do you attend ANC?,Being far from home causes illneses.,Illnesses like malaria are caused by a bite from an infected mosquito.,Attend ANC regularly. Make a birth readiness delivery plan. Take antimalarials as prescribed.
layla 16 year old girl force early marriage first trimester diagnose malaria deal stress early marriage worried potential impact malaria pregnancy layla believe carry one anscestor set reborn anscestor make sick anscestor also well,"Malaria, First trimester, Early marriage, Stress, Worried",How would you support Layla in managing her malaria while addressing her stress and worries? What recommendations would you provide to ensure her health and the health of her unborn child?,"Management of Malaria in Pregnancy, Antenatal Care, Health Supplies",Do you attend ANC? Which measures are you employing to fight malaria?,Anscestor is carried to be reborn.,Every unborn child deserves a chance to live.,Attend ANC regularly. Adopt measures to fight against malaria. Attend health education talks.
